Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4171.4101562500,4175.3847656250,4157.6923828125,4154.2309570312,4162.5639648438,4160.2563476562,4160.3847656250,4161.0258789062,4163.3334960938,4167.5639648438,4166.5385742188,4169.4873046875,4175.5126953125,4153.2050781250,,,
0.0078125000,0,4175.3847656250,4173.9741210938,4164.6152343750,4156.1538085938,4166.1538085938,4162.0512695312,4162.1796875000,4165.0000000000,4163.9741210938,4166.6665039062,4163.3334960938,4175.0000000000,4173.8461914062,4157.4360351562,,,
0.0156250000,0,4172.9487304688,4170.2563476562,4157.0512695312,4152.8203125000,4162.5639648438,4161.7949218750,4161.2822265625,4165.5126953125,4163.5898437500,4166.6665039062,4160.5126953125,4170.1284179688,4170.3847656250,4154.7436523438,,,
0.0234375000,0,4162.8203125000,4168.8461914062,4152.3076171875,4152.9487304688,4160.2563476562,4159.2309570312,4161.5385742188,4166.5385742188,4162.6923828125,4165.6411132812,4161.9228515625,4158.3334960938,4166.6665039062,4148.2050781250,,,
0.0312500000,1,4155.2563476562,4164.4873046875,4153.8461914062,4153.3334960938,4162.3076171875,4159.1025390625,4160.1284179688,4165.0000000000,4165.5126953125,4168.7177734375,4161.4101562500,4155.7690429688,4160.1284179688,4141.0258789062,,,
0.0390625000,1,4142.8203125000,4145.5126953125,4143.3334960938,4145.5126953125,4162.9487304688,4163.2050781250,4157.4360351562,4163.4614257812,4169.4873046875,4169.7436523438,4141.4101562500,4144.2309570312,4139.7436523438,4130.2563476562,,,
0.0468750000,1,4118.8461914062,4117.4360351562,4124.2309570312,4132.3076171875,4161.0258789062,4164.2309570312,4159.4873046875,4164.7436523438,4168.5898437500,4165.7690429688,4107.4360351562,4115.1284179688,4108.3334960938,4111.7949218750,,,
0.0546875000,1,4104.2309570312,4105.0000000000,4117.4360351562,4126.1538085938,4159.8715820312,4160.3847656250,4161.6665039062,4162.6923828125,4166.2822265625,4165.7690429688,4094.3588867188,4097.4360351562,4093.3332519531,4096.4101562500,,,
0.0625000000,2,4119.6152343750,4120.6411132812,4129.4873046875,4137.1796875000,4162.6923828125,4161.7949218750,4163.2050781250,4162.5639648438,4167.8203125000,4172.5639648438,4119.1025390625,4112.6923828125,4114.4873046875,4108.7177734375,,,
0.0703125000,2,4145.0000000000,4141.6665039062,4141.4101562500,4150.0000000000,4161.5385742188,4165.6411132812,4161.1538085938,4163.5898437500,4169.4873046875,4175.5126953125,4146.5385742188,4138.3334960938,4141.6665039062,4133.2050781250,,,
0.0781250000,2,4156.0258789062,4151.7949218750,4148.4614257812,4153.0771484375,4158.4614257812,4164.1025390625,4160.8974609375,4162.0512695312,4168.0771484375,4170.5126953125,4150.6411132812,4150.8974609375,4145.8974609375,4139.6152343750,,,
0.0859375000,2,4165.0000000000,4163.2050781250,4160.6411132812,4155.8974609375,4160.8974609375,4163.3334960938,4164.7436523438,4164.2309570312,4168.0771484375,4166.2822265625,4156.0258789062,4160.2563476562,4145.7690429688,4145.7690429688,,,
0.0937500000,3,4174.2309570312,4173.2050781250,4163.4614257812,4157.4360351562,4161.9228515625,4165.8974609375,4162.4360351562,4165.8974609375,4167.6923828125,4166.2822265625,4170.0000000000,4170.2563476562,4155.2563476562,4157.9487304688,,,
0.1015625000,3,4173.7177734375,4171.6665039062,4157.5639648438,4158.3334960938,4161.9228515625,4167.0512695312,4160.7690429688,4166.0258789062,4165.7690429688,4167.8203125000,4173.3334960938,4174.2309570312,4158.5898437500,4160.6411132812,,,
0.1093750000,3,4169.3588867188,4170.8974609375,4157.5639648438,4161.9228515625,4161.0258789062,4163.0771484375,4162.9487304688,4163.4614257812,4164.3588867188,4169.4873046875,4167.0512695312,4171.2822265625,4146.6665039062,4152.5639648438,,,
