Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4153.8461914062,4149.2309570312,4156.4101562500,4200.7690429688,4153.8461914062,4161.9228515625,4166.9228515625,4166.2822265625,4167.1796875000,4167.0512695312,4151.1538085938,4148.5898437500,4152.6923828125,4138.3334960938,,,
0.0078125000,0,4166.1538085938,4158.9741210938,4158.0771484375,4204.4873046875,4154.7436523438,4163.2050781250,4165.3847656250,4165.0000000000,4166.7949218750,4169.2309570312,4159.2309570312,4161.1538085938,4167.1796875000,4147.9487304688,,,
0.0156250000,0,4172.3076171875,4159.3588867188,4156.9228515625,4206.1538085938,4154.8715820312,4162.0512695312,4160.6411132812,4162.6923828125,4166.2822265625,4170.7690429688,4165.8974609375,4167.6923828125,4176.9228515625,4153.7177734375,,,
0.0234375000,0,4156.9228515625,4145.7690429688,4153.8461914062,4202.6923828125,4155.0000000000,4162.4360351562,4164.4873046875,4163.9741210938,4167.5639648438,4170.8974609375,4157.8203125000,4155.8974609375,4161.5385742188,4143.0771484375,,,
0.0312500000,1,4146.5385742188,4143.7177734375,4147.1796875000,4196.9228515625,4154.7436523438,4161.1538085938,4162.9487304688,4160.6411132812,4166.5385742188,4168.9741210938,4147.0512695312,4148.4614257812,4151.4101562500,4136.7949218750,,,
0.0390625000,1,4160.1284179688,4152.1796875000,4151.2822265625,4202.8203125000,4160.0000000000,4164.6152343750,4162.4360351562,4162.3076171875,4165.7690429688,4169.6152343750,4150.0000000000,4155.1284179688,4159.6152343750,4148.8461914062,,,
0.0468750000,1,4173.0771484375,4153.5898437500,4157.0512695312,4209.1025390625,4161.5385742188,4164.8715820312,4161.4101562500,4162.6923828125,4167.0512695312,4169.4873046875,4158.3334960938,4160.5126953125,4167.4360351562,4157.8203125000,,,
0.0546875000,1,4170.3847656250,4154.2309570312,4157.4360351562,4209.7436523438,4157.9487304688,4163.8461914062,4158.4614257812,4160.5126953125,4167.4360351562,4166.1538085938,4156.6665039062,4160.0000000000,4165.7690429688,4155.0000000000,,,
0.0625000000,2,4167.8203125000,4157.8203125000,4159.6152343750,4213.8461914062,4159.7436523438,4167.1796875000,4162.8203125000,4166.4101562500,4164.8715820312,4170.0000000000,4151.0258789062,4160.3847656250,4158.8461914062,4152.0512695312,,,
0.0703125000,2,4172.8203125000,4159.7436523438,4157.9487304688,4216.0258789062,4160.6411132812,4161.2822265625,4161.4101562500,4165.2563476562,4163.7177734375,4173.8461914062,4151.4101562500,4163.3334960938,4158.2050781250,4150.5126953125,,,
0.0781250000,2,4168.0771484375,4156.6665039062,4156.0258789062,4216.0258789062,4159.7436523438,4160.2563476562,4160.8974609375,4164.8715820312,4166.7949218750,4170.7690429688,4150.6411132812,4158.5898437500,4157.0512695312,4146.1538085938,,,
0.0859375000,2,4149.2309570312,4147.9487304688,4148.0771484375,4211.6665039062,4157.0512695312,4162.8203125000,4162.0512695312,4166.0258789062,4168.5898437500,4170.1284179688,4145.1284179688,4146.1538085938,4148.3334960938,4136.4101562500,,,
0.0937500000,3,4142.0512695312,4139.8715820312,4142.0512695312,4208.5898437500,4155.1284179688,4158.8461914062,4158.8461914062,4162.1796875000,4166.5385742188,4172.4360351562,4145.5126953125,4143.8461914062,4145.0000000000,4131.1538085938,,,
0.1015625000,3,4148.0771484375,4137.8203125000,4149.2309570312,4214.3588867188,4160.2563476562,4161.2822265625,4161.9228515625,4166.0258789062,4164.2309570312,4171.7949218750,4150.6411132812,4150.6411132812,4148.8461914062,4134.7436523438,,,
0.1093750000,3,4157.3076171875,4151.6665039062,4154.3588867188,4216.7949218750,4160.5126953125,4163.9741210938,4161.2822265625,4165.1284179688,4163.5898437500,4169.8715820312,4154.1025390625,4158.5898437500,4156.5385742188,4139.4873046875,,,
0.1171875000,3,4170.2563476562,4169.4873046875,4162.3076171875,4220.5126953125,4157.9487304688,4163.2050781250,4163.3334960938,4165.0000000000,4165.0000000000,4170.0000000000,4164.4873046875,4169.6152343750,4170.6411132812,4151.9228515625,,,
0.1250000000,4,4171.6665039062,4167.8203125000,4166.5385742188,4224.3588867188,4155.5126953125,4160.1284179688,4166.6665039062,4168.8461914062,4164.6152343750,4168.5898437500,4171.4101562500,4176.7949218750,4176.5385742188,4162.6923828125,,,
0.1328125000,4,4163.0771484375,4158.3334960938,4160.1284179688,4220.7690429688,4153.4614257812,4158.2050781250,4160.7690429688,4165.6411132812,4163.2050781250,4166.1538085938,4162.8203125000,4171.2822265625,4170.0000000000,4154.4873046875,,,
0.1406250000,4,4158.9741210938,4159.3588867188,4159.8715820312,4219.3588867188,4156.6665039062,4164.2309570312,4162.5639648438,4167.9487304688,4165.7690429688,4167.4360351562,4155.0000000000,4162.8203125000,4164.6152343750,4147.1796875000,,,
0.1484375000,4,4159.2309570312,4157.9487304688,4157.5639648438,4217.9487304688,4154.7436523438,4164.7436523438,4162.8203125000,4167.5639648438,4165.5126953125,4167.5639648438,4155.8974609375,4161.7949218750,4163.0771484375,4148.8461914062,,,
0.1562500000,5,4160.1284179688,4154.4873046875,4157.4360351562,4219.3588867188,4152.6923828125,4161.2822265625,4160.5126953125,4163.3334960938,4163.5898437500,4166.4101562500,4160.7690429688,4166.6665039062,4165.0000000000,4152.6923828125,,,
0.1640625000,5,4156.2822265625,4155.7690429688,4156.7949218750,4220.6411132812,4155.8974609375,4165.2563476562,4164.3588867188,4162.1796875000,4165.7690429688,4167.4360351562,4159.8715820312,4163.4614257812,4162.9487304688,4152.4360351562,,,
0.1718750000,5,4148.3334960938,4149.8715820312,4147.1796875000,4214.4873046875,4154.1025390625,4164.7436523438,4161.9228515625,4158.8461914062,4166.1538085938,4170.7690429688,4151.7949218750,4152.4360351562,4155.8974609375,4145.0000000000,,,
0.1796875000,5,4148.0771484375,4145.1284179688,4151.6665039062,4216.7949218750,4155.7690429688,4161.6665039062,4162.5639648438,4164.1025390625,4165.5126953125,4172.3076171875,4151.4101562500,4152.8203125000,4153.9741210938,4141.7949218750,,,
0.1875000000,6,4153.3334960938,4149.8715820312,4156.9228515625,4222.0512695312,4157.1796875000,4162.6923828125,4162.9487304688,4167.8203125000,4166.4101562500,4170.0000000000,4156.0258789062,4157.9487304688,4152.4360351562,4142.5639648438,,,
0.1953125000,6,4153.2050781250,4148.9741210938,4150.6411132812,4220.2563476562,4156.4101562500,4163.4614257812,4162.0512695312,4164.4873046875,4165.8974609375,4167.8203125000,4156.5385742188,4155.0000000000,4151.4101562500,4142.9487304688,,,
0.2031250000,6,4145.5126953125,4134.2309570312,4145.0000000000,4217.9487304688,4160.8974609375,4165.0000000000,4165.2563476562,4163.3334960938,4165.3847656250,4167.6923828125,4142.8203125000,4143.7177734375,4145.2563476562,4135.1284179688,,,
0.2109375000,6,4129.2309570312,4116.2822265625,4131.0258789062,4208.8461914062,4159.3588867188,4164.7436523438,4160.2563476562,4157.6923828125,4166.0258789062,4167.6923828125,4115.2563476562,4124.1025390625,4119.3588867188,4111.9228515625,,,
0.2187500000,7,4112.6923828125,4101.1538085938,4122.6923828125,4201.2822265625,4157.1796875000,4163.5898437500,4160.1284179688,4159.7436523438,4165.7690429688,4168.8461914062,4100.3847656250,4110.1284179688,4095.6411132812,4099.2309570312,,,
0.2265625000,7,4118.2050781250,4101.7949218750,4132.6923828125,4205.2563476562,4160.6411132812,4161.2822265625,4162.9487304688,4163.0771484375,4164.8715820312,4170.3847656250,4112.4360351562,4120.2563476562,4111.9228515625,4113.0771484375,,,
0.2343750000,7,4140.3847656250,4124.2309570312,4149.3588867188,4217.6923828125,4161.5385742188,4161.7949218750,4160.6411132812,4158.0771484375,4166.6665039062,4167.9487304688,4138.8461914062,4144.3588867188,4146.5385742188,4135.3847656250,,,
0.2421875000,7,4150.1284179688,4139.8715820312,4157.4360351562,4230.2563476562,4159.6152343750,4163.3334960938,4162.9487304688,4161.7949218750,4170.3847656250,4166.5385742188,4153.2050781250,4156.6665039062,4155.3847656250,4146.7949218750,,,
0.2500000000,8,4150.6411132812,4144.1025390625,4155.2563476562,4230.6411132812,4155.6411132812,4159.3588867188,4160.3847656250,4164.3588867188,4167.4360351562,4169.1025390625,4155.7690429688,4161.2822265625,4155.7690429688,4147.3076171875,,,
0.2578125000,8,4156.7949218750,4148.3334960938,4162.1796875000,4229.8715820312,4157.6923828125,4160.8974609375,4160.7690429688,4164.4873046875,4164.2309570312,4167.8203125000,4162.1796875000,4168.9741210938,4168.2050781250,4149.4873046875,,,
