Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4157.0512695312,4168.5898437500,4162.3076171875,4169.8715820312,4162.6923828125,4162.4360351562,4160.1284179688,4161.4101562500,4168.0771484375,4167.1796875000,4160.3847656250,4156.6665039062,4154.8715820312,4136.7949218750,,,
0.0078125000,0,4154.2309570312,4172.1796875000,4163.9741210938,4170.3847656250,4163.8461914062,4163.4614257812,4162.3076171875,4162.3076171875,4165.5126953125,4169.2309570312,4157.4360351562,4155.5126953125,4156.6665039062,4138.8461914062,,,
0.0156250000,0,4145.1284179688,4167.4360351562,4159.8715820312,4163.5898437500,4163.7177734375,4163.2050781250,4161.1538085938,4164.8715820312,4163.2050781250,4169.2309570312,4152.6923828125,4151.9228515625,4150.0000000000,4136.5385742188,,,
0.0234375000,0,4147.3076171875,4166.2822265625,4163.4614257812,4168.0771484375,4162.6923828125,4162.3076171875,4160.3847656250,4163.4614257812,4166.1538085938,4167.4360351562,4155.3847656250,4150.1284179688,4149.6152343750,4134.8715820312,,,
0.0312500000,1,4155.5126953125,4170.7690429688,4176.2822265625,4176.2822265625,4162.3076171875,4163.5898437500,4166.9228515625,4166.9228515625,4166.5385742188,4167.8203125000,4160.1284179688,4155.7690429688,4156.6665039062,4141.7949218750,,,
0.0390625000,1,4152.9487304688,4167.0512695312,4167.6923828125,4165.3847656250,4158.7177734375,4162.3076171875,4162.1796875000,4165.0000000000,4162.0512695312,4169.3588867188,4154.2309570312,4156.4101562500,4151.9228515625,4140.1284179688,,,
0.0468750000,1,4144.2309570312,4156.0258789062,4156.1538085938,4159.1025390625,4162.0512695312,4165.3847656250,4161.6665039062,4163.9741210938,4165.2563476562,4169.2309570312,4146.2822265625,4144.8715820312,4138.5898437500,4130.0000000000,,,
0.0546875000,1,4146.6665039062,4156.6665039062,4158.3334960938,4162.5639648438,4162.1796875000,4164.1025390625,4162.6923828125,4163.4614257812,4169.3588867188,4167.0512695312,4148.2050781250,4141.2822265625,4141.6665039062,4131.2822265625,,,
0.0625000000,2,4155.1284179688,4170.7690429688,4165.0000000000,4164.7436523438,4159.8715820312,4160.3847656250,4160.8974609375,4161.5385742188,4165.1284179688,4166.6665039062,4160.3847656250,4154.4873046875,4157.6923828125,4140.6411132812,,,
0.0703125000,2,4156.4101562500,4173.5898437500,4165.6411132812,4168.0771484375,4164.8715820312,4163.4614257812,4165.5126953125,4164.4873046875,4164.1025390625,4169.3588867188,4167.5639648438,4160.8974609375,4163.7177734375,4142.4360351562,,,
0.0781250000,2,4153.0771484375,4165.1284179688,4157.4360351562,4165.8974609375,4163.9741210938,4159.2309570312,4162.0512695312,4163.4614257812,4168.0771484375,4169.3588867188,4161.0258789062,4153.5898437500,4160.8974609375,4139.1025390625,,,
0.0859375000,2,4156.0258789062,4165.2563476562,4161.1538085938,4165.8974609375,4164.2309570312,4156.4101562500,4159.6152343750,4165.1284179688,4167.5639648438,4167.9487304688,4159.1025390625,4150.8974609375,4159.3588867188,4142.4360351562,,,
0.0937500000,3,4169.6152343750,4183.3334960938,4173.3334960938,4172.8203125000,4164.1025390625,4160.6411132812,4161.6665039062,4165.2563476562,4162.9487304688,4166.4101562500,4171.4101562500,4163.9741210938,4169.7436523438,4152.8203125000,,,
