Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4148.4614257812,4158.5898437500,4155.2563476562,4172.1796875000,4163.0771484375,4161.1538085938,4160.2563476562,4161.9228515625,4165.7690429688,4167.0512695312,4152.9487304688,4161.5385742188,4156.1538085938,4132.9487304688,,,
0.0078125000,0,4152.3076171875,4159.8715820312,4153.9741210938,4173.9741210938,4162.8203125000,4160.8974609375,4157.0512695312,4163.7177734375,4163.9741210938,4166.1538085938,4149.3588867188,4162.3076171875,4156.7949218750,4133.9741210938,,,
0.0156250000,0,4150.2563476562,4156.4101562500,4158.3334960938,4176.6665039062,4166.6665039062,4163.8461914062,4161.7949218750,4168.2050781250,4165.5126953125,4167.5639648438,4147.9487304688,4157.9487304688,4156.5385742188,4131.0258789062,,,
0.0234375000,0,4143.3334960938,4178.3334960938,4155.2563476562,4174.3588867188,4163.9741210938,4161.1538085938,4159.2309570312,4163.7177734375,4167.0512695312,4166.9228515625,4146.1538085938,4154.6152343750,4151.6665039062,4124.6152343750,,,
0.0312500000,1,4148.0771484375,4197.1796875000,4157.1796875000,4176.2822265625,4162.4360351562,4160.2563476562,4159.1025390625,4163.9741210938,4166.6665039062,4166.5385742188,4148.0771484375,4162.8203125000,4151.5385742188,4131.5385742188,,,
0.0390625000,1,4154.6152343750,4175.5126953125,4158.8461914062,4178.5898437500,4165.5126953125,4161.6665039062,4163.0771484375,4167.6923828125,4166.4101562500,4168.9741210938,4154.6152343750,4165.2563476562,4156.1538085938,4140.2563476562,,,
0.0468750000,1,4144.3588867188,4150.6411132812,4150.7690429688,4173.5898437500,4162.9487304688,4161.1538085938,4160.5126953125,4162.0512695312,4165.0000000000,4169.8715820312,4149.4873046875,4154.2309570312,4154.3588867188,4131.6665039062,,,
0.0546875000,1,4132.6923828125,4151.5385742188,4150.8974609375,4171.1538085938,4163.0771484375,4164.7436523438,4162.6923828125,4165.2563476562,4165.3847656250,4168.0771484375,4141.7949218750,4151.1538085938,4146.7949218750,4125.2563476562,,,
0.0625000000,2,4143.9741210938,4158.2050781250,4152.5639648438,4170.1284179688,4163.7177734375,4164.6152343750,4157.6923828125,4165.3847656250,4167.9487304688,4165.1284179688,4148.2050781250,4161.1538085938,4147.5639648438,4131.5385742188,,,
0.0703125000,2,4161.0258789062,4162.9487304688,4156.4101562500,4172.3076171875,4163.9741210938,4162.4360351562,4156.4101562500,4160.6411132812,4168.3334960938,4167.0512695312,4155.0000000000,4166.0258789062,4153.3334960938,4139.6152343750,,,
0.0781250000,2,4159.8715820312,4162.8203125000,4159.8715820312,4174.7436523438,4164.1025390625,4162.8203125000,4165.1284179688,4161.9228515625,4165.7690429688,4170.8974609375,4151.6665039062,4164.7436523438,4157.5639648438,4142.3076171875,,,
