Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4155.1284179688,4176.0258789062,4168.2050781250,4164.2309570312,4160.8974609375,4160.6411132812,4163.0771484375,4164.3588867188,4167.4360351562,4167.1796875000,4158.7177734375,4159.2309570312,4165.1284179688,4160.6411132812,,,
0.0078125000,0,4152.0512695312,4171.1538085938,4161.0258789062,4164.4873046875,4160.0000000000,4159.8715820312,4161.2822265625,4162.3076171875,4168.7177734375,4165.6411132812,4153.5898437500,4155.6411132812,4162.3076171875,4154.8715820312,,,
0.0156250000,0,4151.5385742188,4167.6923828125,4156.1538085938,4166.2822265625,4159.4873046875,4160.1284179688,4160.6411132812,4161.0258789062,4166.5385742188,4167.5639648438,4150.6411132812,4155.1284179688,4163.0771484375,4152.6923828125,,,
0.0234375000,0,4148.8461914062,4168.2050781250,4160.0000000000,4163.4614257812,4163.5898437500,4162.8203125000,4166.7949218750,4164.1025390625,4165.5126953125,4169.2309570312,4150.7690429688,4152.1796875000,4158.7177734375,4155.6411132812,,,
0.0312500000,1,4143.4614257812,4163.8461914062,4156.5385742188,4153.7177734375,4164.3588867188,4162.5639648438,4163.7177734375,4164.2309570312,4165.3847656250,4169.8715820312,4145.7690429688,4144.3588867188,4150.6411132812,4149.4873046875,,,
0.0390625000,1,4145.6411132812,4158.9741210938,4157.1796875000,4157.1796875000,4162.4360351562,4163.4614257812,4162.3076171875,4168.0771484375,4168.3334960938,4170.2563476562,4144.7436523438,4147.1796875000,4152.6923828125,4147.9487304688,,,
0.0468750000,1,4154.4873046875,4162.5639648438,4159.3588867188,4162.4360351562,4161.1538085938,4164.1025390625,4161.9228515625,4165.3847656250,4168.7177734375,4167.6923828125,4149.2309570312,4156.9228515625,4160.0000000000,4156.9228515625,,,
0.0546875000,1,4160.7690429688,4169.3588867188,4160.5126953125,4159.4873046875,4163.3334960938,4163.2050781250,4161.2822265625,4161.2822265625,4164.8715820312,4164.3588867188,4153.4614257812,4159.2309570312,4166.6665039062,4162.5639648438,,,
0.0625000000,2,4163.5898437500,4173.7177734375,4164.1025390625,4161.2822265625,4164.7436523438,4163.8461914062,4162.5639648438,4165.6411132812,4163.5898437500,4164.7436523438,4158.2050781250,4160.5126953125,4173.5898437500,4165.0000000000,,,
0.0703125000,2,4163.0771484375,4174.7436523438,4161.2822265625,4166.0258789062,4161.0258789062,4162.3076171875,4158.2050781250,4164.3588867188,4164.6152343750,4166.6665039062,4153.5898437500,4159.7436523438,4167.3076171875,4161.1538085938,,,
0.0781250000,2,4159.2309570312,4173.0771484375,4161.4101562500,4167.6923828125,4162.0512695312,4164.1025390625,4159.2309570312,4163.7177734375,4167.0512695312,4166.4101562500,4142.3076171875,4153.5898437500,4154.3588867188,4154.1025390625,,,
0.0859375000,2,4158.3334960938,4174.3588867188,4163.8461914062,4166.6665039062,4164.1025390625,4165.1284179688,4163.4614257812,4165.0000000000,4167.8203125000,4162.9487304688,4141.1538085938,4155.1284179688,4156.6665039062,4153.9741210938,,,
0.0937500000,3,4163.3334960938,4178.7177734375,4168.2050781250,4170.0000000000,4163.0771484375,4161.5385742188,4163.7177734375,4164.1025390625,4165.6411132812,4165.0000000000,4145.7690429688,4162.4360351562,4164.7436523438,4159.1025390625,,,
0.1015625000,3,4160.6411132812,4176.4101562500,4169.2309570312,4173.0771484375,4163.3334960938,4161.0258789062,4163.2050781250,4165.1284179688,4166.0258789062,4170.8974609375,4142.1796875000,4159.6152343750,4160.5126953125,4156.0258789062,,,
0.1093750000,3,4150.0000000000,4168.7177734375,4156.7949218750,4166.5385742188,4160.3847656250,4161.4101562500,4159.3588867188,4162.1796875000,4166.4101562500,4167.5639648438,4136.5385742188,4152.6923828125,4152.0512695312,4143.0771484375,,,
0.1171875000,3,4145.1284179688,4165.2563476562,4155.3847656250,4165.0000000000,4161.7949218750,4160.6411132812,4164.1025390625,4162.8203125000,4165.6411132812,4162.1796875000,4135.2563476562,4147.0512695312,4150.0000000000,4137.8203125000,,,
0.1250000000,4,4145.3847656250,4167.0512695312,4161.5385742188,4166.9228515625,4166.6665039062,4159.1025390625,4167.3076171875,4165.5126953125,4165.7690429688,4166.0258789062,4136.4101562500,4143.4614257812,4151.0258789062,4141.6665039062,,,
0.1328125000,4,4147.3076171875,4169.6152343750,4159.7436523438,4163.7177734375,4165.1284179688,4161.0258789062,4160.3847656250,4162.9487304688,4165.8974609375,4167.6923828125,4138.4614257812,4142.9487304688,4153.2050781250,4143.4614257812,,,
0.1406250000,4,4148.0771484375,4168.0771484375,4158.3334960938,4163.0771484375,4162.5639648438,4165.6411132812,4162.6923828125,4164.8715820312,4165.6411132812,4166.9228515625,4137.8203125000,4141.0258789062,4151.0258789062,4141.0258789062,,,
0.1484375000,4,4145.7690429688,4164.7436523438,4153.3334960938,4162.6923828125,4161.0258789062,4161.1538085938,4162.6923828125,4163.8461914062,4165.3847656250,4170.6411132812,4133.4614257812,4138.3334960938,4147.4360351562,4134.6152343750,,,
0.1562500000,5,4144.2309570312,4165.0000000000,4152.9487304688,4160.6411132812,4162.8203125000,4159.2309570312,4159.3588867188,4162.6923828125,4165.7690429688,4170.1284179688,4135.2563476562,4140.8974609375,4150.0000000000,4138.9741210938,,,
0.1640625000,5,4146.5385742188,4165.6411132812,4156.5385742188,4158.7177734375,4165.7690429688,4163.2050781250,4161.6665039062,4164.1025390625,4163.9741210938,4164.8715820312,4142.1796875000,4146.2822265625,4158.4614257812,4150.3847656250,,,
0.1718750000,5,4146.4101562500,4165.8974609375,4154.8715820312,4159.3588867188,4162.3076171875,4161.1538085938,4160.6411132812,4162.5639648438,4162.1796875000,4166.4101562500,4145.7690429688,4147.6923828125,4163.0771484375,4145.5126953125,,,
0.1796875000,5,4143.0771484375,4167.0512695312,4153.7177734375,4164.8715820312,4163.3334960938,4163.2050781250,4162.3076171875,4166.7949218750,4166.0258789062,4170.3847656250,4143.5898437500,4142.6923828125,4152.5639648438,4136.9228515625,,,
0.1875000000,6,4140.2563476562,4165.0000000000,4149.3588867188,4161.1538085938,4166.0258789062,4165.1284179688,4162.5639648438,4166.4101562500,4167.4360351562,4168.3334960938,4137.6923828125,4134.8715820312,4141.6665039062,4135.8974609375,,,
0.1953125000,6,4138.3334960938,4164.2309570312,4148.4614257812,4158.4614257812,4164.1025390625,4162.6923828125,4161.4101562500,4165.1284179688,4165.2563476562,4168.4614257812,4139.1025390625,4135.1284179688,4147.9487304688,4137.1796875000,,,
0.2031250000,6,4138.9741210938,4167.3076171875,4152.0512695312,4163.2050781250,4162.8203125000,4163.4614257812,4162.4360351562,4166.9228515625,4167.0512695312,4172.8203125000,4146.4101562500,4141.2822265625,4155.8974609375,4138.3334960938,,,
