Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4158.8461914062,4166.0258789062,4183.8461914062,4571.6665039062,4186.4101562500,4161.5385742188,4162.0512695312,4164.4873046875,4160.8974609375,4164.8715820312,4156.6665039062,4171.4101562500,4156.1538085938,4532.8203125000,,,
0.0078125000,0,4158.9741210938,4167.5639648438,4187.3076171875,4567.0512695312,4183.9741210938,4160.5126953125,4159.8715820312,4164.1025390625,4160.8974609375,4161.4101562500,4168.0771484375,4181.9228515625,4171.2822265625,4534.4873046875,,,
0.0156250000,0,4161.7949218750,4176.4101562500,4188.0771484375,4568.0771484375,4183.5898437500,4160.3847656250,4158.2050781250,4162.3076171875,4161.5385742188,4163.4614257812,4172.3076171875,4183.4614257812,4179.6152343750,4549.2309570312,,,
0.0234375000,0,4170.6411132812,4180.1284179688,4197.4360351562,4567.0512695312,4186.5385742188,4161.6665039062,4159.8715820312,4162.9487304688,4160.2563476562,4165.5126953125,4176.2822265625,4185.8974609375,4179.3588867188,4544.4873046875,,,
0.0312500000,1,4178.0771484375,4175.3847656250,4208.8461914062,4562.6923828125,4184.2309570312,4160.3847656250,4157.5639648438,4160.8974609375,4159.4873046875,4162.3076171875,4180.6411132812,4197.0512695312,4183.9741210938,4537.6923828125,,,
0.0390625000,1,4178.9741210938,4172.4360351562,4209.7436523438,4557.1796875000,4183.4614257812,4161.4101562500,4159.7436523438,4163.0771484375,4162.4360351562,4162.5639648438,4179.6152343750,4201.2822265625,4185.2563476562,4544.2309570312,,,
0.0468750000,1,4177.0512695312,4178.5898437500,4201.7949218750,4549.7436523438,4181.6665039062,4161.1538085938,4161.2822265625,4163.2050781250,4163.5898437500,4165.6411132812,4174.7436523438,4197.1796875000,4175.7690429688,4554.3588867188,,,
0.0546875000,1,4169.8715820312,4177.3076171875,4194.4873046875,4536.6665039062,4182.5639648438,4161.1538085938,4162.4360351562,4160.0000000000,4161.4101562500,4164.3588867188,4163.4614257812,4185.7690429688,4158.9741210938,4545.0000000000,,,
0.0625000000,2,4163.4614257812,4166.1538085938,4190.3847656250,4523.9741210938,4187.1796875000,4163.9741210938,4163.9741210938,4162.3076171875,4161.6665039062,4164.4873046875,4150.8974609375,4173.2050781250,4149.1025390625,4532.5639648438,,,
0.0703125000,2,4169.2309570312,4171.0258789062,4192.4360351562,4519.2309570312,4183.4614257812,4162.1796875000,4158.3334960938,4165.0000000000,4163.3334960938,4166.4101562500,4153.0771484375,4176.1538085938,4155.7690429688,4538.5898437500,,,
0.0781250000,2,4175.6411132812,4181.0258789062,4197.3076171875,4511.6665039062,4182.1796875000,4162.8203125000,4160.5126953125,4165.1284179688,4163.2050781250,4165.8974609375,4160.6411132812,4181.6665039062,4162.5639648438,4540.7690429688,,,
0.0859375000,2,4171.1538085938,4177.3076171875,4196.9228515625,4504.2309570312,4185.3847656250,4164.2309570312,4163.2050781250,4163.7177734375,4162.3076171875,4164.2309570312,4159.1025390625,4177.3076171875,4159.8715820312,4532.6923828125,,,
0.0937500000,3,4171.1538085938,4174.8715820312,4195.2563476562,4505.3847656250,4183.2050781250,4163.3334960938,4159.8715820312,4163.8461914062,4162.1796875000,4163.2050781250,4157.9487304688,4179.4873046875,4159.7436523438,4538.7177734375,,,
0.1015625000,3,4181.9228515625,4182.1796875000,4200.8974609375,4503.3334960938,4182.8203125000,4164.4873046875,4162.6923828125,4163.5898437500,4161.5385742188,4162.0512695312,4165.6411132812,4189.6152343750,4164.2309570312,4547.4360351562,,,
0.1093750000,3,4187.6923828125,4187.0512695312,4208.2050781250,4493.8461914062,4181.5385742188,4159.8715820312,4162.6923828125,4160.5126953125,4163.2050781250,4163.2050781250,4168.4614257812,4191.7949218750,4165.3847656250,4539.8715820312,,,
0.1171875000,3,4188.0771484375,4188.2050781250,4210.2563476562,4488.7177734375,4181.4101562500,4158.3334960938,4161.6665039062,4162.6923828125,4164.7436523438,4166.5385742188,4167.1796875000,4189.6152343750,4166.2822265625,4535.3847656250,,,
0.1250000000,4,4195.6411132812,4194.6152343750,4215.8974609375,4497.5639648438,4183.3334960938,4161.7949218750,4161.5385742188,4162.6923828125,4159.8715820312,4165.2563476562,4178.7177734375,4202.1796875000,4177.5639648438,4541.6665039062,,,
0.1328125000,4,4203.2050781250,4204.6152343750,4226.7949218750,4502.1796875000,4182.4360351562,4161.0258789062,4161.7949218750,4160.0000000000,4162.4360351562,4163.2050781250,4194.3588867188,4221.0258789062,4191.4101562500,4544.8715820312,,,
0.1406250000,4,4197.8203125000,4205.2563476562,4224.4873046875,4487.0512695312,4183.3334960938,4161.6665039062,4164.6152343750,4163.4614257812,4170.1284179688,4163.2050781250,4193.9741210938,4217.6923828125,4188.0771484375,4537.1796875000,,,
0.1484375000,4,4190.1284179688,4197.5639648438,4213.2050781250,4481.4101562500,4181.2822265625,4161.2822265625,4159.4873046875,4162.5639648438,4164.4873046875,4161.6665039062,4189.8715820312,4206.5385742188,4180.0000000000,4523.8461914062,,,
0.1562500000,5,4187.5639648438,4190.5126953125,4213.7177734375,4483.9741210938,4180.3847656250,4161.6665039062,4158.9741210938,4162.0512695312,4158.4614257812,4161.9228515625,4189.6152343750,4207.9487304688,4179.8715820312,4515.3847656250,,,
0.1640625000,5,4180.8974609375,4185.3847656250,4213.9741210938,4464.7436523438,4182.5639648438,4163.2050781250,4164.1025390625,4166.9228515625,4162.9487304688,4163.9741210938,4181.5385742188,4203.7177734375,4171.2822265625,4505.3847656250,,,
0.1718750000,5,4175.0000000000,4185.6411132812,4203.3334960938,4448.5898437500,4180.5126953125,4161.1538085938,4161.7949218750,4165.6411132812,4165.1284179688,4163.3334960938,4173.8461914062,4192.5639648438,4161.2822265625,4492.6923828125,,,
