Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4163.7177734375,4170.7690429688,4145.1284179688,4137.6923828125,4162.9487304688,4166.0258789062,4164.4873046875,4162.9487304688,4163.4614257812,4162.3076171875,4168.2050781250,4199.2309570312,4169.7436523438,4158.0771484375,,,
0.0078125000,0,4169.1025390625,4170.5126953125,4144.8715820312,4136.6665039062,4163.5898437500,4162.6923828125,4162.4360351562,4161.7949218750,4164.6152343750,4164.8715820312,4170.8974609375,4199.8715820312,4172.9487304688,4163.5898437500,,,
0.0156250000,0,4171.0258789062,4170.6411132812,4142.3076171875,4137.1796875000,4164.1025390625,4165.2563476562,4162.1796875000,4161.7949218750,4163.5898437500,4165.3847656250,4170.8974609375,4202.8203125000,4176.9228515625,4168.0771484375,,,
0.0234375000,0,4168.8461914062,4168.4614257812,4144.6152343750,4133.9741210938,4166.1538085938,4165.7690429688,4163.2050781250,4161.2822265625,4161.9228515625,4163.8461914062,4166.0258789062,4201.5385742188,4173.4614257812,4164.1025390625,,,
0.0312500000,1,4174.7436523438,4169.4873046875,4146.4101562500,4133.8461914062,4165.6411132812,4160.3847656250,4162.1796875000,4160.8974609375,4165.3847656250,4161.6665039062,4162.8203125000,4197.1796875000,4171.1538085938,4161.1538085938,,,
0.0390625000,1,4185.0000000000,4180.7690429688,4146.5385742188,4144.8715820312,4163.7177734375,4162.6923828125,4164.8715820312,4162.9487304688,4167.1796875000,4163.2050781250,4168.8461914062,4206.6665039062,4173.0771484375,4166.1538085938,,,
0.0468750000,1,4187.4360351562,4187.1796875000,4150.6411132812,4150.3847656250,4161.7949218750,4165.2563476562,4165.8974609375,4162.5639648438,4164.4873046875,4165.0000000000,4175.7690429688,4217.4360351562,4174.8715820312,4172.9487304688,,,
0.0546875000,1,4189.8715820312,4184.6152343750,4157.5639648438,4143.9741210938,4162.3076171875,4163.8461914062,4164.8715820312,4163.7177734375,4165.1284179688,4165.2563476562,4178.3334960938,4216.0258789062,4182.5639648438,4180.2563476562,,,
0.0625000000,2,4194.8715820312,4188.0771484375,4160.5126953125,4145.1284179688,4163.0771484375,4165.1284179688,4162.6923828125,4163.8461914062,4164.4873046875,4171.0258789062,4180.8974609375,4219.8715820312,4193.7177734375,4187.8203125000,,,
0.0703125000,2,4199.4873046875,4196.7949218750,4163.8461914062,4154.7436523438,4161.4101562500,4166.5385742188,4161.1538085938,4161.2822265625,4160.3847656250,4171.2822265625,4186.7949218750,4231.0258789062,4197.9487304688,4195.1284179688,,,
