Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4153.4614257812,4153.7177734375,4155.1284179688,4152.8203125000,4164.7436523438,4164.1025390625,4164.3588867188,4161.7949218750,4162.8203125000,4162.0512695312,4174.2309570312,4146.0258789062,4148.5898437500,4130.5126953125,,,
0.0078125000,0,4146.4101562500,4154.1025390625,4151.6665039062,4152.0512695312,4161.5385742188,4165.5126953125,4161.9228515625,4160.6411132812,4165.1284179688,4165.2563476562,4175.3847656250,4142.9487304688,4148.3334960938,4129.7436523438,,,
0.0156250000,0,4151.5385742188,4156.4101562500,4151.5385742188,4160.0000000000,4162.0512695312,4164.4873046875,4161.4101562500,4163.2050781250,4165.5126953125,4165.2563476562,4173.8461914062,4145.8974609375,4143.2050781250,4133.4614257812,,,
0.0234375000,0,4160.5126953125,4161.6665039062,4155.2563476562,4167.8203125000,4160.8974609375,4162.3076171875,4161.1538085938,4164.8715820312,4161.4101562500,4164.2309570312,4175.1284179688,4148.7177734375,4139.8715820312,4133.8461914062,,,
0.0312500000,1,4150.8974609375,4158.4614257812,4147.6923828125,4160.3847656250,4160.5126953125,4164.8715820312,4163.0771484375,4165.5126953125,4162.5639648438,4167.3076171875,4166.6665039062,4140.3847656250,4133.5898437500,4123.3334960938,,,
0.0390625000,1,4135.3847656250,4143.4614257812,4135.7690429688,4141.1538085938,4161.9228515625,4163.8461914062,4165.1284179688,4163.4614257812,4165.3847656250,4169.7436523438,4157.9487304688,4129.2309570312,4124.8715820312,4114.3588867188,,,
0.0468750000,1,4127.0512695312,4135.7690429688,4134.3588867188,4131.7949218750,4158.9741210938,4158.8461914062,4163.5898437500,4161.6665039062,4162.8203125000,4168.7177734375,4160.0000000000,4120.6411132812,4118.2050781250,4107.6923828125,,,
0.0546875000,1,4122.9487304688,4137.6923828125,4134.4873046875,4134.6152343750,4158.4614257812,4162.1796875000,4165.1284179688,4165.1284179688,4162.6923828125,4166.1538085938,4155.1284179688,4109.3588867188,4111.4101562500,4100.3847656250,,,
0.0625000000,2,4122.1796875000,4136.5385742188,4126.2822265625,4136.5385742188,4159.7436523438,4165.2563476562,4164.6152343750,4165.3847656250,4165.7690429688,4163.9741210938,4144.7436523438,4102.5639648438,4104.7436523438,4094.4870605469,,,
0.0703125000,2,4123.7177734375,4136.9228515625,4123.9741210938,4132.9487304688,4159.7436523438,4163.2050781250,4161.0258789062,4162.8203125000,4164.2309570312,4165.2563476562,4143.4614257812,4104.3588867188,4103.3334960938,4094.3588867188,,,
