Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4200.8974609375,4199.7436523438,4200.5126953125,4198.2050781250,4161.9228515625,4163.4614257812,4158.8461914062,4162.8203125000,4165.5126953125,4159.6152343750,4186.6665039062,4201.5385742188,4185.8974609375,4180.2563476562,,,
0.0078125000,0,4198.4614257812,4190.7690429688,4193.2050781250,4188.2050781250,4161.2822265625,4162.0512695312,4159.3588867188,4162.9487304688,4164.1025390625,4165.0000000000,4180.1284179688,4194.7436523438,4178.9741210938,4173.2050781250,,,
0.0156250000,0,4195.1284179688,4182.8203125000,4186.1538085938,4178.8461914062,4161.1538085938,4163.3334960938,4163.8461914062,4164.1025390625,4164.8715820312,4167.1796875000,4168.7177734375,4184.4873046875,4166.9228515625,4163.5898437500,,,
0.0234375000,0,4185.2563476562,4182.9487304688,4184.4873046875,4176.6665039062,4161.7949218750,4164.2309570312,4162.9487304688,4163.9741210938,4166.1538085938,4164.4873046875,4168.9741210938,4180.1284179688,4164.1025390625,4159.2309570312,,,
0.0312500000,1,4182.4360351562,4183.4614257812,4191.6665039062,4174.6152343750,4163.7177734375,4162.8203125000,4162.8203125000,4165.8974609375,4163.9741210938,4164.2309570312,4178.9741210938,4189.8715820312,4177.1796875000,4166.5385742188,,,
0.0390625000,1,4188.2050781250,4182.0512695312,4194.6152343750,4175.3847656250,4162.0512695312,4157.6923828125,4160.2563476562,4163.2050781250,4160.3847656250,4163.5898437500,4182.4360351562,4198.0771484375,4186.0258789062,4175.1284179688,,,
0.0468750000,1,4187.6923828125,4180.8974609375,4190.6411132812,4180.7690429688,4161.7949218750,4157.4360351562,4159.2309570312,4160.8974609375,4161.9228515625,4163.2050781250,4177.6923828125,4193.9741210938,4183.9741210938,4174.7436523438,,,
0.0546875000,1,4185.6411132812,4179.6152343750,4189.6152343750,4182.8203125000,4164.4873046875,4164.6152343750,4160.8974609375,4163.0771484375,4164.4873046875,4165.3847656250,4177.3076171875,4193.0771484375,4182.4360351562,4174.3588867188,,,
0.0625000000,2,4190.5126953125,4183.3334960938,4193.7177734375,4181.1538085938,4163.0771484375,4169.2309570312,4160.1284179688,4161.6665039062,4163.5898437500,4166.7949218750,4178.7177734375,4198.9741210938,4186.1538085938,4180.0000000000,,,
0.0703125000,2,4198.7177734375,4189.1025390625,4199.3588867188,4185.0000000000,4162.9487304688,4166.6665039062,4163.3334960938,4161.6665039062,4164.3588867188,4165.2563476562,4174.7436523438,4200.0000000000,4185.3847656250,4183.7177734375,,,
