Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4120.6411132812,4155.1284179688,4096.4101562500,4207.6923828125,4165.5126953125,4164.3588867188,4161.2822265625,4162.3076171875,4164.8715820312,4167.1796875000,4131.6665039062,4095.2563476562,4137.6923828125,4117.0512695312,,,
0.0078125000,0,4125.0000000000,4156.4101562500,4101.9228515625,4216.5385742188,4166.2822265625,4160.7690429688,4162.4360351562,4160.8974609375,4162.8203125000,4162.8203125000,4136.4101562500,4101.4101562500,4142.6923828125,4125.7690429688,,,
0.0156250000,0,4124.2309570312,4157.3076171875,4104.2309570312,4217.3076171875,4163.4614257812,4163.2050781250,4161.9228515625,4161.9228515625,4163.5898437500,4164.4873046875,4138.9741210938,4105.1284179688,4146.4101562500,4127.0512695312,,,
0.0234375000,0,4127.3076171875,4164.8715820312,4103.7177734375,4221.9228515625,4162.0512695312,4166.0258789062,4162.8203125000,4164.3588867188,4165.1284179688,4163.9741210938,4142.8203125000,4106.7949218750,4145.7690429688,4123.8461914062,,,
0.0312500000,1,4134.3588867188,4173.2050781250,4107.0512695312,4228.5898437500,4162.3076171875,4162.0512695312,4161.5385742188,4161.2822265625,4163.4614257812,4163.8461914062,4144.7436523438,4109.4873046875,4150.6411132812,4127.0512695312,,,
0.0390625000,1,4139.1025390625,4173.3334960938,4113.5898437500,4228.7177734375,4163.2050781250,4162.0512695312,4161.4101562500,4161.0258789062,4164.1025390625,4164.8715820312,4149.4873046875,4115.6411132812,4156.2822265625,4133.4614257812,,,
0.0468750000,1,4139.6152343750,4171.6665039062,4113.3334960938,4230.7690429688,4162.3076171875,4163.7177734375,4160.1284179688,4163.3334960938,4165.3847656250,4164.3588867188,4156.7949218750,4121.2822265625,4155.6411132812,4132.0512695312,,,
0.0546875000,1,4136.2822265625,4170.2563476562,4113.2050781250,4233.7177734375,4164.4873046875,4164.2309570312,4161.7949218750,4163.5898437500,4163.7177734375,4166.0258789062,4153.0771484375,4119.2309570312,4152.8203125000,4124.3588867188,,,
0.0625000000,2,4136.2822265625,4168.4614257812,4117.0512695312,4229.3588867188,4164.3588867188,4164.3588867188,4163.2050781250,4163.5898437500,4163.2050781250,4165.7690429688,4150.7690429688,4115.5126953125,4152.3076171875,4124.2309570312,,,
0.0703125000,2,4141.0258789062,4173.3334960938,4119.4873046875,4229.8715820312,4159.1025390625,4161.1538085938,4158.8461914062,4163.9741210938,4164.7436523438,4163.3334960938,4159.7436523438,4120.7690429688,4153.7177734375,4131.2822265625,,,
0.0781250000,2,4139.1025390625,4177.1796875000,4119.6152343750,4233.7177734375,4162.0512695312,4161.1538085938,4160.3847656250,4166.2822265625,4165.5126953125,4165.0000000000,4159.2309570312,4125.0000000000,4152.4360351562,4131.5385742188,,,
0.0859375000,2,4134.4873046875,4173.0771484375,4117.3076171875,4231.4101562500,4166.0258789062,4163.8461914062,4162.0512695312,4165.7690429688,4162.9487304688,4166.0258789062,4150.3847656250,4121.9228515625,4147.0512695312,4123.9741210938,,,
0.0937500000,3,4136.7949218750,4169.8715820312,4118.8461914062,4226.9228515625,4162.8203125000,4165.8974609375,4161.6665039062,4163.4614257812,4161.9228515625,4164.3588867188,4151.5385742188,4119.6152343750,4143.2050781250,4121.9228515625,,,
0.1015625000,3,4135.3847656250,4171.5385742188,4118.5898437500,4221.9228515625,4163.3334960938,4164.8715820312,4163.3334960938,4162.8203125000,4165.1284179688,4164.8715820312,4153.2050781250,4117.5639648438,4143.5898437500,4125.8974609375,,,
0.1093750000,3,4130.1284179688,4171.6665039062,4113.4614257812,4217.3076171875,4164.1025390625,4159.7436523438,4158.9741210938,4160.3847656250,4165.5126953125,4164.3588867188,4148.3334960938,4117.6923828125,4144.7436523438,4129.4873046875,,,
0.1171875000,3,4133.9741210938,4171.9228515625,4114.6152343750,4217.1796875000,4165.2563476562,4162.3076171875,4161.0258789062,4162.3076171875,4162.8203125000,4163.5898437500,4146.9228515625,4122.5639648438,4141.4101562500,4130.1284179688,,,
0.1250000000,4,4137.9487304688,4175.7690429688,4118.2050781250,4220.0000000000,4164.6152343750,4165.6411132812,4165.0000000000,4165.2563476562,4163.4614257812,4165.0000000000,4146.9228515625,4123.7177734375,4140.2563476562,4128.4614257812,,,
0.1328125000,4,4136.4101562500,4177.8203125000,4121.0258789062,4226.2822265625,4161.2822265625,4161.7949218750,4158.4614257812,4162.9487304688,4164.4873046875,4165.5126953125,4150.2563476562,4126.5385742188,4147.1796875000,4130.6411132812,,,
0.1406250000,4,4138.7177734375,4174.2309570312,4118.7177734375,4221.0258789062,4164.2309570312,4160.3847656250,4157.0512695312,4161.1538085938,4163.4614257812,4164.7436523438,4144.8715820312,4128.9741210938,4145.3847656250,4134.1025390625,,,
0.1484375000,4,4136.9228515625,4163.0771484375,4107.0512695312,4201.4101562500,4165.1284179688,4161.9228515625,4158.7177734375,4161.5385742188,4163.3334960938,4163.7177734375,4132.1796875000,4122.5639648438,4134.1025390625,4127.9487304688,,,
0.1562500000,5,4129.4873046875,4158.4614257812,4102.5639648438,4201.6665039062,4162.6923828125,4165.3847656250,4160.6411132812,4163.8461914062,4165.1284179688,4164.2309570312,4151.0258789062,4118.5898437500,4144.8715820312,4122.4360351562,,,
