Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4173.3334960938,4147.6923828125,4176.7949218750,4173.3334960938,4167.3076171875,4160.7690429688,4161.9228515625,4162.4360351562,4163.7177734375,4167.8203125000,4174.8715820312,4150.8974609375,4163.4614257812,4171.6665039062,,,
0.0078125000,0,4159.8715820312,4136.5385742188,4165.8974609375,4166.0258789062,4162.5639648438,4158.7177734375,4157.5639648438,4162.3076171875,4165.5126953125,4162.5639648438,4155.6411132812,4132.0512695312,4150.2563476562,4155.5126953125,,,
0.0156250000,0,4154.4873046875,4132.8203125000,4163.0771484375,4163.8461914062,4161.2822265625,4161.1538085938,4162.8203125000,4167.3076171875,4166.5385742188,4165.3847656250,4140.1284179688,4118.3334960938,4138.7177734375,4146.2822265625,,,
0.0234375000,0,4156.5385742188,4142.4360351562,4165.8974609375,4166.9228515625,4161.4101562500,4160.2563476562,4160.2563476562,4163.5898437500,4166.0258789062,4170.2563476562,4143.4614257812,4123.8461914062,4140.7690429688,4147.3076171875,,,
0.0312500000,1,4162.4360351562,4147.3076171875,4169.8715820312,4171.2822265625,4163.0771484375,4160.6411132812,4160.6411132812,4164.7436523438,4167.4360351562,4168.5898437500,4149.6152343750,4131.5385742188,4150.5126953125,4150.8974609375,,,
0.0390625000,1,4164.2309570312,4140.8974609375,4170.3847656250,4170.2563476562,4162.0512695312,4162.4360351562,4162.3076171875,4167.9487304688,4165.6411132812,4161.5385742188,4153.0771484375,4132.3076171875,4150.8974609375,4150.3847656250,,,
0.0468750000,1,4160.7690429688,4141.1538085938,4171.0258789062,4167.5639648438,4161.5385742188,4162.9487304688,4159.2309570312,4163.5898437500,4163.4614257812,4160.6411132812,4160.3847656250,4140.3847656250,4152.1796875000,4152.1796875000,,,
0.0546875000,1,4161.7949218750,4148.4614257812,4168.7177734375,4167.5639648438,4165.7690429688,4165.6411132812,4161.6665039062,4162.8203125000,4166.4101562500,4166.5385742188,4157.6923828125,4145.8974609375,4152.0512695312,4161.1538085938,,,
0.0625000000,2,4160.7690429688,4144.4873046875,4162.4360351562,4165.5126953125,4165.6411132812,4161.7949218750,4159.4873046875,4161.2822265625,4165.3847656250,4168.7177734375,4149.4873046875,4140.5126953125,4145.3847656250,4158.3334960938,,,
0.0703125000,2,4153.2050781250,4131.7949218750,4159.8715820312,4163.0771484375,4166.5385742188,4160.7690429688,4160.6411132812,4161.9228515625,4162.3076171875,4167.3076171875,4146.9228515625,4132.6923828125,4141.1538085938,4147.4360351562,,,
0.0781250000,2,4148.5898437500,4129.3588867188,4158.3334960938,4158.7177734375,4166.6665039062,4163.7177734375,4164.2309570312,4163.0771484375,4164.7436523438,4166.5385742188,4145.3847656250,4130.2563476562,4144.8715820312,4148.5898437500,,,
0.0859375000,2,4155.1284179688,4138.2050781250,4163.5898437500,4160.3847656250,4162.1796875000,4159.7436523438,4162.1796875000,4161.9228515625,4165.2563476562,4165.7690429688,4149.4873046875,4137.6923828125,4153.7177734375,4154.1025390625,,,
0.0937500000,3,4161.0258789062,4143.4614257812,4171.9228515625,4166.2822265625,4161.7949218750,4159.4873046875,4165.7690429688,4168.2050781250,4163.4614257812,4166.9228515625,4157.6923828125,4145.3847656250,4159.2309570312,4153.5898437500,,,
0.1015625000,3,4157.5639648438,4141.1538085938,4168.5898437500,4160.3847656250,4161.0258789062,4161.9228515625,4164.2309570312,4168.2050781250,4164.3588867188,4167.3076171875,4152.4360351562,4145.6411132812,4152.1796875000,4146.0258789062,,,
0.1093750000,3,4157.8203125000,4139.4873046875,4165.0000000000,4156.7949218750,4158.9741210938,4164.2309570312,4162.5639648438,4163.0771484375,4165.1284179688,4164.8715820312,4138.0771484375,4141.7949218750,4138.3334960938,4138.8461914062,,,
0.1171875000,3,4160.3847656250,4139.7436523438,4162.8203125000,4161.5385742188,4160.0000000000,4165.7690429688,4162.1796875000,4163.5898437500,4164.1025390625,4166.0258789062,4142.0512695312,4144.3588867188,4141.9228515625,4140.2563476562,,,
