Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4120.5126953125,4142.8203125000,4158.7177734375,4124.1025390625,4162.6923828125,4161.7949218750,4163.0771484375,4166.6665039062,4162.1796875000,4168.4614257812,4132.6923828125,4154.3588867188,4161.9228515625,4181.4101562500,,,
0.0078125000,0,4133.3334960938,4154.1025390625,4170.5126953125,4133.7177734375,4159.7436523438,4159.1025390625,4160.5126953125,4166.5385742188,4161.9228515625,4168.9741210938,4141.0258789062,4168.2050781250,4168.9741210938,4196.9228515625,,,
0.0156250000,0,4151.6665039062,4170.3847656250,4181.9228515625,4142.3076171875,4159.7436523438,4159.2309570312,4163.7177734375,4167.5639648438,4163.3334960938,4166.1538085938,4158.3334960938,4188.4614257812,4185.1284179688,4217.3076171875,,,
0.0234375000,0,4150.0000000000,4165.2563476562,4175.8974609375,4137.3076171875,4156.5385742188,4160.5126953125,4160.2563476562,4164.2309570312,4166.5385742188,4166.4101562500,4164.2309570312,4191.4101562500,4195.3847656250,4214.2309570312,,,
0.0312500000,1,4146.0258789062,4159.2309570312,4174.6152343750,4134.3588867188,4160.7690429688,4166.7949218750,4163.8461914062,4165.8974609375,4168.5898437500,4167.5639648438,4156.9228515625,4183.7177734375,4191.9228515625,4205.2563476562,,,
0.0390625000,1,4155.8974609375,4173.2050781250,4181.6665039062,4137.6923828125,4162.9487304688,4163.4614257812,4161.5385742188,4164.6152343750,4165.6411132812,4163.3334960938,4164.1025390625,4192.6923828125,4197.6923828125,4216.6665039062,,,
0.0468750000,1,4153.8461914062,4175.7690429688,4183.3334960938,4138.8461914062,4159.2309570312,4157.5639648438,4157.3076171875,4162.8203125000,4163.0771484375,4163.8461914062,4169.2309570312,4197.1796875000,4203.7177734375,4216.9228515625,,,
0.0546875000,1,4132.0512695312,4149.2309570312,4169.7436523438,4131.9228515625,4158.5898437500,4161.2822265625,4163.8461914062,4168.2050781250,4163.5898437500,4164.2309570312,4144.4873046875,4166.9228515625,4179.4873046875,4185.5126953125,,,
0.0625000000,2,4107.1796875000,4128.2050781250,4146.5385742188,4117.9487304688,4156.4101562500,4160.2563476562,4160.2563476562,4166.1538085938,4165.1284179688,4161.4101562500,4120.2563476562,4133.2050781250,4147.8203125000,4154.7436523438,,,
0.0703125000,2,4092.3076171875,4126.7949218750,4138.8461914062,4113.8461914062,4158.7177734375,4160.0000000000,4159.8715820312,4165.3847656250,4166.1538085938,4164.3588867188,4115.7690429688,4124.8715820312,4136.4101562500,4145.7690429688,,,
0.0781250000,2,4094.7436523438,4128.2050781250,4142.3076171875,4116.9228515625,4160.7690429688,4161.5385742188,4160.7690429688,4165.5126953125,4164.3588867188,4167.5639648438,4116.6665039062,4130.5126953125,4140.6411132812,4146.2822265625,,,
0.0859375000,2,4109.8715820312,4134.7436523438,4150.7690429688,4123.2050781250,4161.0258789062,4163.8461914062,4159.4873046875,4164.1025390625,4163.4614257812,4166.6665039062,4123.4614257812,4138.0771484375,4155.2563476562,4157.1796875000,,,
0.0937500000,3,4120.5126953125,4144.2309570312,4161.5385742188,4130.0000000000,4164.4873046875,4166.6665039062,4164.4873046875,4166.9228515625,4165.6411132812,4162.4360351562,4134.1025390625,4145.3847656250,4166.7949218750,4174.6152343750,,,
0.1015625000,3,4125.8974609375,4149.6152343750,4163.2050781250,4123.7177734375,4161.1538085938,4160.8974609375,4160.8974609375,4163.0771484375,4164.1025390625,4162.4360351562,4137.5639648438,4153.9741210938,4168.0771484375,4179.7436523438,,,
0.1093750000,3,4136.9228515625,4156.1538085938,4169.3588867188,4123.5898437500,4158.5898437500,4160.2563476562,4163.2050781250,4162.6923828125,4162.3076171875,4165.7690429688,4135.8974609375,4164.6152343750,4173.0771484375,4185.0000000000,,,
0.1171875000,3,4145.7690429688,4164.7436523438,4180.3847656250,4131.9228515625,4158.7177734375,4162.9487304688,4166.1538085938,4165.6411132812,4163.4614257812,4164.7436523438,4137.6923828125,4171.2822265625,4182.9487304688,4199.3588867188,,,
0.1250000000,4,4150.6411132812,4166.6665039062,4182.9487304688,4131.5385742188,4156.5385742188,4159.1025390625,4159.8715820312,4163.4614257812,4164.4873046875,4160.8974609375,4140.7690429688,4176.0258789062,4189.8715820312,4208.7177734375,,,
0.1328125000,4,4150.7690429688,4162.0512695312,4178.9741210938,4129.6152343750,4160.1284179688,4161.2822265625,4162.6923828125,4166.4101562500,4166.0258789062,4165.0000000000,4140.3847656250,4175.7690429688,4189.6152343750,4207.6923828125,,,
0.1406250000,4,4133.9741210938,4152.1796875000,4165.5126953125,4123.9741210938,4161.0258789062,4161.0258789062,4161.0258789062,4165.3847656250,4164.6152343750,4172.4360351562,4133.2050781250,4162.0512695312,4177.8203125000,4193.5898437500,,,
0.1484375000,4,4112.1796875000,4135.3847656250,4153.0771484375,4115.7690429688,4160.3847656250,4158.4614257812,4160.7690429688,4162.6923828125,4161.9228515625,4168.9741210938,4118.8461914062,4142.3076171875,4155.3847656250,4171.6665039062,,,
