Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4149.1025390625,4155.8974609375,4165.2563476562,4147.4360351562,4159.8715820312,4163.9741210938,4166.7949218750,4163.8461914062,4168.0771484375,4164.6152343750,4182.1796875000,4165.3847656250,4207.0512695312,4204.6152343750,,,
0.0078125000,0,4159.2309570312,4164.8715820312,4175.0000000000,4153.3334960938,4156.7949218750,4161.7949218750,4162.1796875000,4164.1025390625,4163.4614257812,4165.0000000000,4188.0771484375,4170.8974609375,4215.2563476562,4213.8461914062,,,
0.0156250000,0,4148.5898437500,4163.7177734375,4170.1284179688,4146.0258789062,4161.2822265625,4161.4101562500,4157.9487304688,4162.5639648438,4158.3334960938,4165.2563476562,4174.2309570312,4157.9487304688,4202.6923828125,4202.3076171875,,,
0.0234375000,0,4146.2822265625,4165.0000000000,4166.4101562500,4150.6411132812,4167.6923828125,4162.8203125000,4166.6665039062,4167.4360351562,4160.0000000000,4167.9487304688,4159.7436523438,4146.9228515625,4192.5639648438,4186.4101562500,,,
0.0312500000,1,4150.6411132812,4169.4873046875,4161.9228515625,4156.1538085938,4161.0258789062,4160.3847656250,4162.3076171875,4166.9228515625,4163.7177734375,4167.4360351562,4153.5898437500,4136.0258789062,4192.6923828125,4177.4360351562,,,
0.0390625000,1,4147.3076171875,4167.4360351562,4155.0000000000,4152.1796875000,4159.7436523438,4164.1025390625,4161.9228515625,4166.5385742188,4165.7690429688,4164.8715820312,4147.3076171875,4120.2563476562,4186.5385742188,4176.0258789062,,,
0.0468750000,1,4146.9228515625,4163.7177734375,4148.9741210938,4149.7436523438,4164.2309570312,4163.5898437500,4163.7177734375,4166.1538085938,4165.0000000000,4168.5898437500,4152.0512695312,4119.6152343750,4188.0771484375,4184.8715820312,,,
0.0546875000,1,4152.0512695312,4167.6923828125,4157.4360351562,4157.5639648438,4165.0000000000,4159.8715820312,4159.6152343750,4164.4873046875,4164.2309570312,4170.2563476562,4172.8203125000,4143.2050781250,4207.1796875000,4204.1025390625,,,
0.0625000000,2,4156.0258789062,4171.6665039062,4173.7177734375,4161.9228515625,4168.4614257812,4166.0258789062,4164.4873046875,4168.4614257812,4168.8461914062,4165.8974609375,4180.8974609375,4164.6152343750,4215.7690429688,4216.7949218750,,,
0.0703125000,2,4157.6923828125,4168.5898437500,4176.5385742188,4155.3847656250,4163.4614257812,4162.9487304688,4162.5639648438,4165.3847656250,4165.3847656250,4161.6665039062,4176.2822265625,4170.1284179688,4208.7177734375,4211.9228515625,,,
0.0781250000,2,4157.5639648438,4161.7949218750,4177.9487304688,4156.4101562500,4159.7436523438,4158.3334960938,4162.4360351562,4163.0771484375,4157.9487304688,4163.2050781250,4175.5126953125,4167.1796875000,4200.8974609375,4205.2563476562,,,
0.0859375000,2,4155.0000000000,4158.0771484375,4180.2563476562,4157.9487304688,4161.7949218750,4163.3334960938,4165.2563476562,4166.7949218750,4162.6923828125,4169.4873046875,4173.7177734375,4167.5639648438,4195.0000000000,4203.3334960938,,,
