Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4163.9741210938,4153.9741210938,4161.5385742188,4170.6411132812,4161.5385742188,4162.8203125000,4158.7177734375,4161.7949218750,4161.9228515625,4165.7690429688,4159.3588867188,4170.6411132812,4165.7690429688,4167.9487304688,,,
0.0078125000,0,4170.0000000000,4160.0000000000,4161.6665039062,4172.0512695312,4168.7177734375,4163.8461914062,4161.2822265625,4166.4101562500,4160.2563476562,4163.8461914062,4164.3588867188,4174.6152343750,4168.9741210938,4173.3334960938,,,
0.0156250000,0,4168.5898437500,4158.9741210938,4159.1025390625,4170.2563476562,4166.7949218750,4162.3076171875,4158.5898437500,4162.8203125000,4163.2050781250,4168.5898437500,4166.0258789062,4177.3076171875,4167.1796875000,4171.7949218750,,,
0.0234375000,0,4166.2822265625,4157.9487304688,4164.1025390625,4168.2050781250,4161.1538085938,4161.7949218750,4157.9487304688,4159.1025390625,4168.3334960938,4171.1538085938,4162.4360351562,4180.7690429688,4168.2050781250,4169.7436523438,,,
0.0312500000,1,4172.9487304688,4162.6923828125,4171.1538085938,4169.2309570312,4164.7436523438,4161.9228515625,4164.8715820312,4164.8715820312,4166.9228515625,4164.7436523438,4158.7177734375,4182.9487304688,4168.9741210938,4169.8715820312,,,
0.0390625000,1,4181.2822265625,4165.0000000000,4168.8461914062,4170.5126953125,4164.4873046875,4159.2309570312,4159.1025390625,4161.1538085938,4166.0258789062,4161.1538085938,4164.2309570312,4183.7177734375,4168.5898437500,4168.7177734375,,,
0.0468750000,1,4180.7690429688,4157.8203125000,4168.8461914062,4171.9228515625,4167.3076171875,4164.1025390625,4160.2563476562,4160.2563476562,4168.8461914062,4165.2563476562,4168.0771484375,4182.4360351562,4168.8461914062,4167.3076171875,,,
0.0546875000,1,4173.7177734375,4148.2050781250,4168.9741210938,4165.5126953125,4164.6152343750,4165.6411132812,4163.5898437500,4165.2563476562,4166.4101562500,4167.4360351562,4162.0512695312,4179.6152343750,4166.5385742188,4163.2050781250,,,
0.0625000000,2,4171.1538085938,4144.6152343750,4169.8715820312,4161.6665039062,4159.1025390625,4161.7949218750,4161.7949218750,4166.2822265625,4164.2309570312,4165.2563476562,4160.7690429688,4179.2309570312,4164.7436523438,4160.2563476562,,,
0.0703125000,2,4178.0771484375,4151.7949218750,4171.5385742188,4168.8461914062,4165.5126953125,4161.4101562500,4164.4873046875,4164.1025390625,4165.6411132812,4167.5639648438,4165.5126953125,4179.4873046875,4165.6411132812,4165.3847656250,,,
