Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4161.2822265625,4155.1284179688,4167.9487304688,4162.5639648438,4162.9487304688,4161.6665039062,4159.1025390625,4160.3847656250,4165.5126953125,4161.0258789062,4160.7690429688,4150.3847656250,4186.9228515625,4149.6152343750,,,
0.0078125000,0,4162.8203125000,4154.1025390625,4172.8203125000,4158.9741210938,4163.8461914062,4166.1538085938,4163.0771484375,4166.9228515625,4167.4360351562,4166.7949218750,4161.2822265625,4146.9228515625,4186.2822265625,4157.4360351562,,,
0.0156250000,0,4157.6923828125,4151.9228515625,4171.0258789062,4154.7436523438,4162.1796875000,4162.6923828125,4159.8715820312,4166.6665039062,4166.5385742188,4168.2050781250,4159.8715820312,4148.8461914062,4187.5639648438,4154.6152343750,,,
0.0234375000,0,4148.4614257812,4141.7949218750,4160.5126953125,4152.5639648438,4164.6152343750,4160.7690429688,4161.1538085938,4164.3588867188,4164.8715820312,4163.8461914062,4152.1796875000,4143.7177734375,4178.2050781250,4145.0000000000,,,
0.0312500000,1,4152.1796875000,4141.9228515625,4160.0000000000,4153.2050781250,4165.2563476562,4164.3588867188,4161.6665039062,4164.3588867188,4165.3847656250,4162.8203125000,4147.9487304688,4139.7436523438,4174.8715820312,4149.3588867188,,,
0.0390625000,1,4159.6152343750,4154.2309570312,4169.4873046875,4158.0771484375,4160.8974609375,4163.5898437500,4156.6665039062,4163.2050781250,4168.2050781250,4163.8461914062,4153.3334960938,4147.3076171875,4187.0512695312,4157.5639648438,,,
0.0468750000,1,4154.7436523438,4153.3334960938,4169.6152343750,4160.1284179688,4160.5126953125,4162.3076171875,4159.3588867188,4164.8715820312,4167.8203125000,4168.2050781250,4152.8203125000,4147.4360351562,4186.4101562500,4158.0771484375,,,
0.0546875000,1,4150.0000000000,4150.7690429688,4170.0000000000,4155.0000000000,4159.6152343750,4163.7177734375,4159.8715820312,4165.3847656250,4163.2050781250,4167.6923828125,4148.2050781250,4142.3076171875,4179.6152343750,4157.4360351562,,,
0.0625000000,2,4157.5639648438,4158.2050781250,4181.0258789062,4157.1796875000,4160.3847656250,4167.1796875000,4164.3588867188,4168.9741210938,4164.3588867188,4163.8461914062,4152.6923828125,4149.3588867188,4187.9487304688,4163.7177734375,,,
0.0703125000,2,4157.5639648438,4158.2050781250,4181.0258789062,4157.1796875000,4160.3847656250,4167.1796875000,4164.3588867188,4168.9741210938,4164.3588867188,4163.8461914062,4152.6923828125,4149.3588867188,4187.9487304688,4163.7177734375,,,
0.0781250000,2,4161.1538085938,4156.4101562500,4181.4101562500,4161.6665039062,4159.7436523438,4164.6152343750,4167.6923828125,4168.3334960938,4169.4873046875,4169.4873046875,4157.9487304688,4156.5385742188,4192.5639648438,4166.0258789062,,,
0.0859375000,2,4155.5126953125,4149.7436523438,4173.4614257812,4159.2309570312,4158.5898437500,4160.2563476562,4163.0771484375,4162.0512695312,4169.1025390625,4170.8974609375,4156.9228515625,4153.9741210938,4186.6665039062,4156.5385742188,,,
0.0937500000,3,4154.7436523438,4153.3334960938,4174.1025390625,4156.7949218750,4166.1538085938,4163.0771484375,4166.0258789062,4164.4873046875,4165.5126953125,4166.5385742188,4157.4360351562,4151.1538085938,4182.1796875000,4153.8461914062,,,
0.1015625000,3,4157.9487304688,4158.0771484375,4176.0258789062,4156.7949218750,4164.6152343750,4157.9487304688,4166.1538085938,4164.3588867188,4165.0000000000,4168.4614257812,4161.6665039062,4152.9487304688,4180.8974609375,4158.3334960938,,,
0.1093750000,3,4161.2822265625,4160.1284179688,4176.1538085938,4161.1538085938,4158.9741210938,4158.4614257812,4162.6923828125,4165.5126953125,4167.0512695312,4169.6152343750,4163.2050781250,4154.3588867188,4180.6411132812,4159.2309570312,,,
0.1171875000,3,4163.7177734375,4163.3334960938,4176.5385742188,4161.6665039062,4162.6923828125,4165.0000000000,4161.6665039062,4168.8461914062,4167.3076171875,4165.5126953125,4160.1284179688,4153.0771484375,4178.0771484375,4161.6665039062,,,
0.1250000000,4,4155.3847656250,4160.8974609375,4171.9228515625,4154.7436523438,4163.8461914062,4159.1025390625,4160.0000000000,4163.3334960938,4163.8461914062,4164.6152343750,4159.3588867188,4149.3588867188,4169.8715820312,4164.6152343750,,,
