AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4161.5385742188,4161.41015625,4155.0,4157.3076171875,4164.2309570312,4164.1025390625,4161.1538085938,4162.9487304688,4165.2563476562,4165.2563476562,4360.1284179688,4150.384765625,4156.1538085938,4152.9487304688
4163.3334960938,4165.5126953125,4159.2309570312,4158.7177734375,4163.205078125,4165.384765625,4162.4360351562,4163.0771484375,4165.384765625,4165.6411132812,4361.5385742188,4155.384765625,4158.4614257812,4156.794921875
4162.4360351562,4165.1284179688,4156.1538085938,4155.0,4161.1538085938,4163.7177734375,4158.58984375,4163.7177734375,4167.0512695312,4169.3588867188,4355.8974609375,4157.6923828125,4158.3334960938,4154.2309570312
4158.205078125,4156.6665039062,4151.5385742188,4151.2822265625,4162.8203125,4164.4873046875,4158.4614257812,4164.1025390625,4168.4614257812,4171.794921875,4347.6923828125,4148.8461914062,4155.2563476562,4147.8203125
4152.1796875,4149.4873046875,4151.6665039062,4150.8974609375,4164.4873046875,4163.3334960938,4159.7436523438,4163.3334960938,4166.41015625,4168.205078125,4346.1538085938,4144.2309570312,4154.7436523438,4148.205078125
4146.6665039062,4150.384765625,4154.615234375,4153.8461914062,4162.8203125,4163.4614257812,4161.41015625,4164.1025390625,4165.0,4164.7436523438,4347.9487304688,4149.2309570312,4159.2309570312,4151.6665039062
4152.5639648438,4157.5639648438,4159.7436523438,4158.9741210938,4163.7177734375,4164.8715820312,4163.58984375,4165.1284179688,4166.41015625,4165.6411132812,4349.7436523438,4157.4360351562,4165.384765625,4155.5126953125
4152.5639648438,4154.7436523438,4157.5639648438,4157.4360351562,4163.8461914062,4161.6665039062,4160.7690429688,4160.6411132812,4166.794921875,4167.3076171875,4337.3076171875,4151.0258789062,4157.5639648438,4148.0771484375
4137.3076171875,4139.615234375,4150.1284179688,4151.0258789062,4162.3076171875,4162.5639648438,4162.1796875,4160.8974609375,4168.0771484375,4170.2563476562,4310.6411132812,4130.7690429688,4137.8203125,4135.5126953125
4134.8715820312,4137.4360351562,4147.4360351562,4149.2309570312,4162.5639648438,4165.384765625,4165.1284179688,4164.7436523438,4168.3334960938,4172.3076171875,4301.5385742188,4128.3334960938,4129.4873046875,4131.794921875
4140.384765625,4148.205078125,4148.9741210938,4151.5385742188,4165.5126953125,4163.9741210938,4163.4614257812,4164.1025390625,4166.1538085938,4168.4614257812,4305.384765625,4138.3334960938,4137.5639648438,4134.3588867188
4135.5126953125,4148.58984375,4150.1284179688,4151.41015625,4165.2563476562,4163.0771484375,4162.0512695312,4163.205078125,4167.5639648438,4166.41015625,4289.615234375,4132.9487304688,4138.8461914062,4132.1796875
4145.0,4154.2309570312,4153.205078125,4152.8203125,4161.6665039062,4164.3588867188,4160.7690429688,4164.3588867188,4167.5639648438,4167.9487304688,4266.5385742188,4132.5639648438,4139.1025390625,4131.41015625
4166.2822265625,4172.8203125,4160.5126953125,4159.4873046875,4163.7177734375,4165.7690429688,4160.8974609375,4166.5385742188,4163.7177734375,4168.205078125,4260.2563476562,4152.1796875,4148.9741210938,4144.7436523438
4165.0,4175.0,4159.8715820312,4158.4614257812,4165.0,4163.58984375,4159.2309570312,4163.4614257812,4163.7177734375,4170.0,4248.0771484375,4157.0512695312,4150.8974609375,4151.0258789062
4156.0258789062,4164.4873046875,4156.0258789062,4153.8461914062,4163.3334960938,4161.5385742188,4159.615234375,4163.8461914062,4166.5385742188,4174.3588867188,4218.8461914062,4149.1025390625,4146.9228515625,4144.615234375
4165.384765625,4169.3588867188,4161.1538085938,4161.1538085938,4166.1538085938,4165.1284179688,4163.8461914062,4168.58984375,4166.5385742188,4171.9228515625,4194.615234375,4154.615234375,4152.8203125,4147.6923828125
4175.2563476562,4180.6411132812,4166.9228515625,4166.41015625,4168.4614257812,4166.9228515625,4161.794921875,4164.4873046875,4166.0258789062,4165.0,4175.384765625,4163.205078125,4159.1025390625,4153.7177734375
4171.794921875,4173.8461914062,4168.4614257812,4160.1284179688,4166.6665039062,4163.3334960938,4161.0258789062,4164.3588867188,4166.9228515625,4165.6411132812,4148.205078125,4160.0,4156.2822265625,4152.6923828125
4166.2822265625,4161.5385742188,4166.794921875,4154.8715820312,4164.1025390625,4160.6411132812,4162.9487304688,4167.5639648438,4166.0258789062,4171.5385742188,4122.0512695312,4158.0771484375,4159.1025390625,4152.5639648438
4166.2822265625,4165.5126953125,4169.4873046875,4156.9228515625,4163.0771484375,4161.794921875,4161.1538085938,4165.0,4166.0258789062,4169.615234375,4105.384765625,4161.9228515625,4167.3076171875,4153.58984375
4167.6923828125,4174.7436523438,4173.7177734375,4159.4873046875,4163.3334960938,4164.2309570312,4163.4614257812,4167.5639648438,4166.9228515625,4164.7436523438,4085.8974609375,4161.6665039062,4164.3588867188,4151.9228515625
4169.1025390625,4173.58984375,4165.8974609375,4156.5385742188,4161.5385742188,4162.6923828125,4164.2309570312,4168.4614257812,4167.3076171875,4167.3076171875,4061.9230957031,4158.3334960938,4155.7690429688,4149.8715820312
4167.5639648438,4168.0771484375,4160.8974609375,4155.6411132812,4161.6665039062,4163.205078125,4162.3076171875,4165.5126953125,4169.3588867188,4170.5126953125,4044.4870605469,4155.0,4153.205078125,4148.205078125
4164.8715820312,4171.6665039062,4165.2563476562,4158.0771484375,4163.0771484375,4164.8715820312,4162.4360351562,4162.1796875,4168.0771484375,4166.794921875,4035.7692871094,4155.6411132812,4159.3588867188,4149.4873046875
4167.6923828125,4180.8974609375,4167.9487304688,4160.2563476562,4162.1796875,4161.5385742188,4160.2563476562,4158.0771484375,4165.8974609375,4164.7436523438,4031.41015625,4163.205078125,4166.794921875,4150.1284179688
4168.205078125,4179.4873046875,4168.0771484375,4163.9741210938,4165.5126953125,4161.6665039062,4161.6665039062,4163.205078125,4167.9487304688,4168.3334960938,4017.1794433594,4160.384765625,4161.9228515625,4144.8715820312
4148.58984375,4157.5639648438,4153.3334960938,4153.4614257812,4166.0258789062,4163.4614257812,4162.3076171875,4166.9228515625,4166.5385742188,4171.0258789062,3978.3332519531,4130.7690429688,4133.7177734375,4127.3076171875
4120.6411132812,4129.1025390625,4134.7436523438,4135.6411132812,4161.2822265625,4161.794921875,4159.8715820312,4162.6923828125,4162.9487304688,4171.0258789062,3934.1025390625,4100.5126953125,4096.9228515625,4104.3588867188
4113.9741210938,4122.5639648438,4133.4614257812,4131.41015625,4162.1796875,4162.1796875,4161.6665039062,4162.6923828125,4166.5385742188,4168.4614257812,3920.6411132812,4099.8715820312,4089.6154785156,4100.7690429688
4133.205078125,4138.58984375,4141.6665039062,4137.4360351562,4163.7177734375,4160.7690429688,4161.2822265625,4164.1025390625,4167.3076171875,4166.41015625,3936.6667480469,4120.5126953125,4116.5385742188,4119.7436523438
4156.0258789062,4157.5639648438,4157.6923828125,4149.615234375,4163.4614257812,4161.2822265625,4161.9228515625,4166.0258789062,4163.7177734375,4166.1538085938,3959.6154785156,4144.4873046875,4143.9741210938,4140.7690429688
4161.6665039062,4165.384765625,4165.384765625,4156.41015625,4163.0771484375,4165.5126953125,4162.6923828125,4165.0,4164.3588867188,4163.58984375,3965.2563476562,4154.3588867188,4150.8974609375,4142.5639648438
