AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4133.7177734375,4134.3588867188,4149.7436523438,4192.8203125,4165.0,4164.7436523438,4163.3334960938,4162.9487304688,4163.9741210938,4166.41015625,4170.7690429688,4144.3588867188,4157.6923828125,4139.3588867188
4137.3076171875,4139.615234375,4152.1796875,4194.3588867188,4168.4614257812,4165.7690429688,4161.0258789062,4163.7177734375,4166.0258789062,4167.5639648438,4170.0,4151.41015625,4162.9487304688,4146.1538085938
4136.794921875,4133.9741210938,4146.1538085938,4188.58984375,4171.41015625,4161.794921875,4158.9741210938,4159.3588867188,4167.5639648438,4166.794921875,4162.0512695312,4149.2309570312,4163.4614257812,4143.4614257812
4137.0512695312,4128.3334960938,4140.6411132812,4184.7436523438,4167.0512695312,4160.2563476562,4160.6411132812,4158.8461914062,4166.794921875,4167.3076171875,4159.8715820312,4144.8715820312,4160.5126953125,4138.0771484375
4147.1796875,4136.6665039062,4150.384765625,4193.205078125,4162.9487304688,4163.8461914062,4163.9741210938,4163.4614257812,4166.9228515625,4168.9741210938,4169.1025390625,4152.9487304688,4165.2563476562,4147.5639648438
4154.7436523438,4144.4873046875,4151.41015625,4195.1284179688,4163.4614257812,4162.1796875,4158.4614257812,4159.8715820312,4166.1538085938,4168.205078125,4170.7690429688,4155.8974609375,4166.41015625,4151.1538085938
4146.6665039062,4135.6411132812,4147.6923828125,4192.8203125,4167.9487304688,4161.1538085938,4162.3076171875,4161.5385742188,4165.1284179688,4167.0512695312,4164.1025390625,4146.2822265625,4159.8715820312,4143.7177734375
4146.6665039062,4132.1796875,4152.1796875,4193.3334960938,4166.9228515625,4161.5385742188,4166.5385742188,4163.3334960938,4165.7690429688,4167.0512695312,4166.794921875,4146.5385742188,4160.2563476562,4145.6411132812
4157.9487304688,4145.2563476562,4156.794921875,4195.5126953125,4163.7177734375,4163.0771484375,4164.1025390625,4164.2309570312,4165.6411132812,4168.3334960938,4169.615234375,4154.1025390625,4162.8203125,4153.3334960938
4155.5126953125,4148.7177734375,4153.3334960938,4196.0258789062,4163.8461914062,4163.4614257812,4163.9741210938,4167.5639648438,4163.9741210938,4168.3334960938,4161.0258789062,4152.6923828125,4160.5126953125,4150.7690429688
