AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4155.6411132812,4146.2822265625,4170.0,4162.9487304688,4164.3588867188,4161.6665039062,4164.3588867188,4163.205078125,4167.6923828125,4169.3588867188,4151.5385742188,4153.9741210938,4160.2563476562,4149.2309570312
4164.1025390625,4147.5639648438,4170.384765625,4164.7436523438,4163.4614257812,4161.5385742188,4161.9228515625,4163.3334960938,4164.7436523438,4169.1025390625,4147.4360351562,4159.2309570312,4165.1284179688,4155.6411132812
4171.5385742188,4156.41015625,4176.794921875,4163.9741210938,4163.4614257812,4162.5639648438,4160.6411132812,4166.0258789062,4163.3334960938,4166.41015625,4150.6411132812,4166.2822265625,4170.7690429688,4161.6665039062
4171.5385742188,4158.205078125,4178.58984375,4162.9487304688,4163.58984375,4164.4873046875,4160.6411132812,4164.1025390625,4169.3588867188,4166.1538085938,4161.1538085938,4168.58984375,4174.3588867188,4164.2309570312
4169.3588867188,4153.58984375,4172.5639648438,4165.7690429688,4164.8715820312,4164.3588867188,4160.384765625,4158.8461914062,4171.794921875,4169.8715820312,4164.7436523438,4167.3076171875,4177.1796875,4163.7177734375
4170.1284179688,4155.8974609375,4174.8715820312,4170.6411132812,4169.2309570312,4164.7436523438,4165.5126953125,4165.7690429688,4170.2563476562,4172.9487304688,4159.4873046875,4165.7690429688,4175.8974609375,4165.384765625
4171.6665039062,4164.8715820312,4174.4873046875,4164.615234375,4165.7690429688,4161.9228515625,4159.8715820312,4164.8715820312,4166.5385742188,4171.0258789062,4158.205078125,4162.4360351562,4169.7436523438,4163.0771484375
4170.5126953125,4167.3076171875,4173.58984375,4162.5639648438,4162.9487304688,4163.4614257812,4159.8715820312,4163.205078125,4165.1284179688,4168.58984375,4159.7436523438,4155.1284179688,4165.1284179688,4157.3076171875
4165.1284179688,4162.3076171875,4171.9228515625,4164.3588867188,4163.0771484375,4164.8715820312,4166.5385742188,4167.9487304688,4167.3076171875,4169.3588867188,4160.2563476562,4157.0512695312,4167.5639648438,4154.4873046875
4165.0,4162.3076171875,4170.0,4160.8974609375,4160.5126953125,4162.6923828125,4165.0,4164.615234375,4167.0512695312,4169.615234375,4162.6923828125,4169.1025390625,4175.7690429688,4160.2563476562
4165.5126953125,4159.7436523438,4170.384765625,4160.0,4164.4873046875,4166.9228515625,4165.5126953125,4164.1025390625,4166.41015625,4167.5639648438,4159.2309570312,4167.3076171875,4174.3588867188,4163.7177734375
4162.0512695312,4152.5639648438,4162.0512695312,4156.5385742188,4164.8715820312,4166.0258789062,4160.2563476562,4163.3334960938,4167.0512695312,4166.794921875,4155.5126953125,4160.6411132812,4167.3076171875,4153.9741210938
4165.384765625,4153.58984375,4162.3076171875,4160.6411132812,4163.205078125,4162.1796875,4158.4614257812,4164.1025390625,4167.0512695312,4168.3334960938,4164.1025390625,4167.6923828125,4170.2563476562,4150.0
4168.8461914062,4161.41015625,4169.615234375,4169.3588867188,4162.9487304688,4162.1796875,4164.2309570312,4168.8461914062,4164.7436523438,4168.58984375,4167.1796875,4167.8203125,4173.58984375,4154.615234375
