AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4194.1025390625,4183.205078125,4182.0512695312,4164.1025390625,4162.5639648438,4161.794921875,4161.41015625,4163.3334960938,4164.2309570312,4162.4360351562,4198.7177734375,4185.1284179688,4189.8715820312,4180.5126953125
4188.0771484375,4181.0258789062,4181.1538085938,4164.2309570312,4164.1025390625,4164.615234375,4163.9741210938,4163.7177734375,4165.2563476562,4162.5639648438,4196.2822265625,4184.615234375,4186.9228515625,4179.615234375
4195.384765625,4181.5385742188,4180.6411132812,4160.0,4161.0258789062,4158.0771484375,4155.5126953125,4158.0771484375,4163.4614257812,4168.205078125,4196.1538085938,4188.9741210938,4191.794921875,4181.9228515625
4200.2563476562,4184.3588867188,4186.794921875,4162.4360351562,4163.3334960938,4161.794921875,4158.8461914062,4164.2309570312,4161.41015625,4171.1538085938,4200.1284179688,4190.1284179688,4194.615234375,4180.6411132812
4192.8203125,4181.5385742188,4183.205078125,4161.794921875,4163.3334960938,4165.5126953125,4160.5126953125,4165.1284179688,4162.9487304688,4168.58984375,4199.3588867188,4191.0258789062,4193.8461914062,4177.9487304688
4194.615234375,4184.615234375,4182.6923828125,4160.7690429688,4161.0258789062,4162.4360351562,4157.5639648438,4161.0258789062,4166.9228515625,4168.7177734375,4199.8715820312,4195.5126953125,4197.1796875,4180.5126953125
4194.7436523438,4186.794921875,4185.1284179688,4163.7177734375,4164.4873046875,4163.3334960938,4159.7436523438,4163.8461914062,4166.6665039062,4170.7690429688,4202.3076171875,4191.6665039062,4195.384765625,4177.4360351562
4185.2563476562,4179.2309570312,4178.58984375,4160.6411132812,4165.6411132812,4162.8203125,4160.1284179688,4162.3076171875,4163.7177734375,4168.3334960938,4199.4873046875,4187.1796875,4186.6665039062,4168.205078125
4187.0512695312,4177.8203125,4185.0,4162.9487304688,4165.384765625,4164.1025390625,4166.5385742188,4165.1284179688,4164.8715820312,4167.0512695312,4198.0771484375,4191.2822265625,4187.8203125,4172.8203125
4193.4614257812,4182.6923828125,4189.3588867188,4166.794921875,4162.9487304688,4162.8203125,4165.6411132812,4165.384765625,4164.3588867188,4167.4360351562,4198.9741210938,4193.58984375,4194.615234375,4175.6411132812
4194.2309570312,4182.5639648438,4185.1284179688,4167.1796875,4161.0258789062,4160.1284179688,4160.7690429688,4161.41015625,4161.5385742188,4167.5639648438,4200.8974609375,4190.8974609375,4196.5385742188,4170.8974609375
4194.3588867188,4182.1796875,4190.2563476562,4169.1025390625,4162.9487304688,4162.6923828125,4163.3334960938,4165.5126953125,4164.615234375,4166.794921875,4205.0,4193.8461914062,4197.5639648438,4175.7690429688
4191.6665039062,4181.5385742188,4189.1025390625,4165.7690429688,4160.1284179688,4162.0512695312,4160.384765625,4165.0,4167.0512695312,4164.615234375,4203.8461914062,4195.0,4198.58984375,4177.4360351562
4186.9228515625,4174.1025390625,4185.6411132812,4163.7177734375,4160.2563476562,4161.9228515625,4161.5385742188,4166.1538085938,4165.0,4167.5639648438,4198.3334960938,4187.3076171875,4192.4360351562,4174.2309570312
4190.2563476562,4172.1796875,4185.5126953125,4162.8203125,4162.6923828125,4161.9228515625,4161.794921875,4167.1796875,4164.615234375,4171.6665039062,4196.41015625,4185.2563476562,4188.9741210938,4177.0512695312
4196.794921875,4182.8203125,4186.1538085938,4163.0771484375,4162.0512695312,4161.0258789062,4158.0771484375,4163.0771484375,4166.0258789062,4167.0512695312,4198.7177734375,4192.6923828125,4195.8974609375,4181.9228515625
4195.6411132812,4189.2309570312,4186.2822265625,4166.2822265625,4164.2309570312,4163.0771484375,4163.58984375,4164.3588867188,4165.384765625,4161.794921875,4200.0,4192.6923828125,4197.1796875,4180.2563476562
4192.9487304688,4186.794921875,4180.384765625,4162.9487304688,4162.0512695312,4162.1796875,4161.2822265625,4160.6411132812,4163.0771484375,4166.0258789062,4199.3588867188,4186.6665039062,4194.1025390625,4174.1025390625
4197.0512695312,4184.1025390625,4185.5126953125,4162.3076171875,4160.7690429688,4163.205078125,4158.205078125,4161.41015625,4165.6411132812,4171.794921875,4202.3076171875,4194.1025390625,4197.4360351562,4176.9228515625
4203.8461914062,4183.0771484375,4189.615234375,4162.9487304688,4162.9487304688,4164.2309570312,4160.6411132812,4165.5126953125,4166.6665039062,4169.4873046875,4203.205078125,4203.205078125,4201.41015625,4181.5385742188
4203.0771484375,4187.8203125,4183.3334960938,4163.0771484375,4160.5126953125,4161.1538085938,4160.0,4160.2563476562,4162.9487304688,4168.0771484375,4204.615234375,4201.9228515625,4205.5126953125,4179.1025390625
4199.7436523438,4192.3076171875,4188.9741210938,4168.9741210938,4161.6665039062,4163.9741210938,4165.7690429688,4163.9741210938,4165.2563476562,4171.6665039062,4208.0771484375,4199.8715820312,4205.7690429688,4179.2309570312
4198.205078125,4187.0512695312,4190.8974609375,4167.5639648438,4164.615234375,4165.1284179688,4164.8715820312,4166.5385742188,4166.6665039062,4170.7690429688,4203.0771484375,4196.5385742188,4193.8461914062,4178.8461914062
4196.0258789062,4177.8203125,4187.1796875,4162.8203125,4165.5126953125,4163.58984375,4163.205078125,4162.6923828125,4163.58984375,4168.205078125,4197.9487304688,4193.58984375,4183.7177734375,4179.1025390625
4199.8715820312,4180.8974609375,4189.2309570312,4164.7436523438,4164.3588867188,4163.7177734375,4166.6665039062,4163.0771484375,4164.3588867188,4169.3588867188,4201.794921875,4198.4614257812,4189.8715820312,4184.8715820312
4205.2563476562,4190.384765625,4191.794921875,4165.1284179688,4160.8974609375,4161.0258789062,4161.41015625,4161.5385742188,4166.1538085938,4169.1025390625,4204.1025390625,4203.9741210938,4198.3334960938,4189.615234375
4200.384765625,4184.3588867188,4195.1284179688,4166.0258789062,4163.9741210938,4162.9487304688,4164.1025390625,4165.7690429688,4167.3076171875,4167.9487304688,4198.8461914062,4197.4360351562,4192.1796875,4190.6411132812
4188.7177734375,4174.3588867188,4188.8461914062,4162.5639648438,4163.3334960938,4163.7177734375,4166.794921875,4167.4360351562,4166.1538085938,4168.205078125,4193.58984375,4192.6923828125,4183.3334960938,4188.4614257812
4186.6665039062,4176.9228515625,4184.1025390625,4158.58984375,4159.1025390625,4160.5126953125,4163.0771484375,4163.205078125,4165.0,4167.3076171875,4197.1796875,4196.41015625,4187.8203125,4187.3076171875
4191.5385742188,4183.58984375,4188.58984375,4163.8461914062,4160.7690429688,4161.41015625,4165.1284179688,4164.2309570312,4165.5126953125,4166.1538085938,4202.3076171875,4196.0258789062,4193.7177734375,4189.3588867188
4190.0,4183.7177734375,4186.5385742188,4166.41015625,4159.4873046875,4161.0258789062,4162.0512695312,4162.9487304688,4164.1025390625,4167.0512695312,4198.8461914062,4189.7436523438,4187.6923828125,4185.384765625
4176.2822265625,4170.5126953125,4179.615234375,4161.5385742188,4163.0771484375,4163.0771484375,4161.9228515625,4165.8974609375,4165.5126953125,4167.8203125,4186.0258789062,4174.4873046875,4171.1538085938,4174.1025390625
4150.8974609375,4143.8461914062,4160.5126953125,4147.3076171875,4164.7436523438,4162.3076171875,4162.0512695312,4164.1025390625,4166.1538085938,4167.9487304688,4160.7690429688,4146.41015625,4141.2822265625,4150.7690429688
4135.5126953125,4127.5639648438,4145.0,4136.2822265625,4159.615234375,4159.4873046875,4159.3588867188,4159.4873046875,4162.6923828125,4167.5639648438,4137.3076171875,4124.1025390625,4112.0512695312,4129.1025390625
4150.7690429688,4140.1284179688,4157.5639648438,4143.58984375,4161.2822265625,4162.8203125,4164.615234375,4165.5126953125,4164.8715820312,4168.3334960938,4140.384765625,4135.2563476562,4121.41015625,4140.2563476562
4175.384765625,4158.9741210938,4169.1025390625,4151.41015625,4160.8974609375,4160.384765625,4159.615234375,4161.0258789062,4168.4614257812,4167.1796875,4161.0258789062,4163.0771484375,4156.5385742188,4162.5639648438
4183.0771484375,4170.8974609375,4175.5126953125,4157.1796875,4161.5385742188,4159.8715820312,4158.3334960938,4157.5639648438,4166.5385742188,4164.7436523438,4176.5385742188,4177.3076171875,4172.1796875,4169.7436523438
4184.615234375,4178.0771484375,4184.615234375,4158.8461914062,4163.4614257812,4163.58984375,4164.1025390625,4164.3588867188,4164.2309570312,4165.1284179688,4183.9741210938,4181.794921875,4173.7177734375,4172.9487304688
4193.4614257812,4182.0512695312,4187.0512695312,4156.794921875,4160.2563476562,4162.4360351562,4159.7436523438,4164.7436523438,4163.9741210938,4167.0512695312,4188.205078125,4190.6411132812,4181.2822265625,4177.8203125
4209.2309570312,4190.8974609375,4192.5639648438,4165.6411132812,4161.6665039062,4163.8461914062,4160.384765625,4165.0,4163.0771484375,4169.7436523438,4194.615234375,4201.5385742188,4193.9741210938,4190.1284179688
4219.4873046875,4202.5639648438,4195.5126953125,4169.3588867188,4161.794921875,4162.8203125,4161.5385742188,4161.9228515625,4163.8461914062,4167.9487304688,4202.8203125,4204.8715820312,4200.7690429688,4198.7177734375
4215.1284179688,4198.9741210938,4192.1796875,4164.2309570312,4159.7436523438,4160.8974609375,4163.58984375,4164.3588867188,4166.9228515625,4163.205078125,4200.8974609375,4198.4614257812,4192.1796875,4191.41015625
4205.8974609375,4188.9741210938,4190.6411132812,4164.1025390625,4160.5126953125,4160.7690429688,4164.7436523438,4168.4614257812,4166.9228515625,4163.8461914062,4191.1538085938,4192.0512695312,4182.0512695312,4183.58984375
4201.794921875,4191.6665039062,4192.8203125,4165.0,4160.384765625,4160.1284179688,4160.0,4163.7177734375,4163.7177734375,4167.4360351562,4191.41015625,4195.0,4187.5639648438,4187.0512695312
4201.1538085938,4190.7690429688,4197.9487304688,4164.8715820312,4161.6665039062,4164.615234375,4165.0,4168.4614257812,4164.8715820312,4168.9741210938,4197.5639648438,4193.8461914062,4187.0512695312,4190.0
4201.41015625,4180.6411132812,4191.2822265625,4162.6923828125,4161.6665039062,4164.8715820312,4164.3588867188,4168.8461914062,4166.5385742188,4167.8203125,4190.384765625,4188.8461914062,4173.7177734375,4181.2822265625
4203.8461914062,4183.8461914062,4190.384765625,4166.0258789062,4161.2822265625,4160.384765625,4160.384765625,4161.41015625,4166.5385742188,4167.6923828125,4185.5126953125,4192.6923828125,4177.5639648438,4179.615234375
4205.6411132812,4193.205078125,4198.58984375,4168.9741210938,4161.5385742188,4160.384765625,4164.615234375,4164.615234375,4166.794921875,4167.8203125,4192.9487304688,4196.6665039062,4188.205078125,4188.58984375
4203.205078125,4188.8461914062,4189.7436523438,4163.58984375,4159.615234375,4160.6411132812,4160.6411132812,4165.5126953125,4164.7436523438,4168.9741210938,4193.58984375,4190.0,4183.58984375,4185.7690429688
4196.41015625,4182.5639648438,4182.8203125,4164.3588867188,4163.9741210938,4163.9741210938,4158.9741210938,4165.2563476562,4165.7690429688,4170.2563476562,4193.9741210938,4186.41015625,4182.9487304688,4181.9228515625
