AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4156.794921875,4152.9487304688,4166.1538085938,4280.1284179688,4165.0,4163.205078125,4162.6923828125,4160.0,4165.6411132812,4171.0258789062,4173.7177734375,4167.4360351562,4174.615234375,4162.6923828125
4160.0,4157.1796875,4168.4614257812,4283.8461914062,4166.1538085938,4162.1796875,4163.7177734375,4164.2309570312,4165.7690429688,4167.6923828125,4177.5639648438,4169.8715820312,4175.6411132812,4164.7436523438
4164.615234375,4165.6411132812,4172.6923828125,4282.1796875,4167.5639648438,4159.2309570312,4162.0512695312,4165.6411132812,4163.9741210938,4165.1284179688,4185.384765625,4178.4614257812,4177.3076171875,4166.6665039062
4164.4873046875,4165.384765625,4175.1284179688,4279.8715820312,4167.4360351562,4160.8974609375,4161.1538085938,4163.4614257812,4164.3588867188,4165.8974609375,4181.6665039062,4173.4614257812,4177.1796875,4164.2309570312
4163.8461914062,4164.615234375,4175.6411132812,4281.794921875,4164.615234375,4159.7436523438,4160.8974609375,4162.8203125,4164.7436523438,4164.615234375,4176.794921875,4167.5639648438,4175.8974609375,4163.0771484375
4160.5126953125,4166.2822265625,4170.5126953125,4281.6665039062,4163.7177734375,4158.205078125,4158.4614257812,4160.7690429688,4165.0,4165.8974609375,4177.0512695312,4166.41015625,4172.3076171875,4158.9741210938
4149.3588867188,4154.1025390625,4166.41015625,4278.58984375,4165.8974609375,4164.3588867188,4163.205078125,4164.7436523438,4165.7690429688,4169.615234375,4168.205078125,4156.1538085938,4160.1284179688,4151.0258789062
4147.1796875,4144.7436523438,4164.2309570312,4275.5126953125,4162.9487304688,4163.58984375,4163.3334960938,4163.58984375,4166.41015625,4165.8974609375,4166.2822265625,4152.5639648438,4158.3334960938,4150.384765625
4161.2822265625,4158.3334960938,4172.5639648438,4279.7436523438,4164.1025390625,4161.794921875,4161.9228515625,4161.5385742188,4167.5639648438,4163.7177734375,4184.2309570312,4167.6923828125,4175.8974609375,4160.8974609375
4171.6665039062,4172.9487304688,4181.9228515625,4283.58984375,4168.3334960938,4165.0,4162.5639648438,4164.4873046875,4166.9228515625,4168.205078125,4190.5126953125,4173.58984375,4179.1025390625,4162.8203125
4166.2822265625,4167.8203125,4178.8461914062,4280.0,4164.2309570312,4161.794921875,4159.8715820312,4162.5639648438,4164.4873046875,4170.8974609375,4180.5126953125,4166.41015625,4166.5385742188,4152.5639648438
4156.6665039062,4155.0,4176.0258789062,4278.7177734375,4164.7436523438,4159.3588867188,4161.9228515625,4164.2309570312,4166.2822265625,4169.2309570312,4182.8203125,4165.0,4166.6665039062,4150.2563476562
4155.0,4154.3588867188,4173.0771484375,4276.794921875,4168.9741210938,4159.3588867188,4161.9228515625,4165.384765625,4168.3334960938,4166.41015625,4193.3334960938,4168.9741210938,4180.5126953125,4155.7690429688
4162.4360351562,4164.2309570312,4176.794921875,4277.3076171875,4167.8203125,4160.6411132812,4164.2309570312,4163.205078125,4166.41015625,4166.5385742188,4198.58984375,4179.615234375,4190.8974609375,4162.8203125
4171.2822265625,4169.1025390625,4185.0,4278.7177734375,4164.615234375,4162.8203125,4169.1025390625,4162.4360351562,4164.3588867188,4170.384765625,4200.2563476562,4189.1025390625,4192.8203125,4168.8461914062
4176.9228515625,4167.4360351562,4183.0771484375,4275.6411132812,4163.4614257812,4160.8974609375,4163.205078125,4159.3588867188,4163.7177734375,4170.384765625,4198.58984375,4185.7690429688,4195.0,4169.8715820312
4179.3588867188,4167.1796875,4184.4873046875,4278.8461914062,4167.9487304688,4161.6665039062,4163.0771484375,4161.6665039062,4167.3076171875,4166.41015625,4198.3334960938,4184.615234375,4199.2309570312,4173.3334960938
4176.1538085938,4167.5639648438,4186.794921875,4282.0512695312,4166.794921875,4161.794921875,4164.7436523438,4163.58984375,4167.5639648438,4164.8715820312,4198.4614257812,4191.5385742188,4202.8203125,4172.9487304688
4170.384765625,4166.1538085938,4181.9228515625,4280.1284179688,4162.5639648438,4160.8974609375,4160.384765625,4161.41015625,4162.9487304688,4165.2563476562,4194.1025390625,4189.8715820312,4198.7177734375,4168.58984375
4163.8461914062,4158.58984375,4178.205078125,4275.2563476562,4165.1284179688,4162.8203125,4160.1284179688,4163.4614257812,4163.4614257812,4166.41015625,4185.6411132812,4177.8203125,4184.615234375,4164.7436523438
4156.794921875,4154.4873046875,4174.615234375,4269.3588867188,4164.615234375,4161.41015625,4160.1284179688,4162.4360351562,4168.4614257812,4168.0771484375,4179.8715820312,4172.1796875,4173.205078125,4154.8715820312
4160.6411132812,4162.9487304688,4178.3334960938,4275.6411132812,4164.7436523438,4162.3076171875,4163.4614257812,4165.384765625,4169.2309570312,4166.794921875,4185.6411132812,4174.615234375,4174.2309570312,4155.1284179688
4169.3588867188,4169.2309570312,4181.2822265625,4281.2822265625,4167.1796875,4165.1284179688,4165.1284179688,4166.9228515625,4164.4873046875,4165.5126953125,4190.7690429688,4179.4873046875,4177.9487304688,4162.6923828125
4168.8461914062,4168.0771484375,4183.0771484375,4278.205078125,4167.1796875,4163.8461914062,4163.205078125,4160.1284179688,4163.8461914062,4167.6923828125,4188.7177734375,4181.5385742188,4177.3076171875,4159.3588867188
4167.0512695312,4166.9228515625,4185.6411132812,4277.5639648438,4167.3076171875,4165.2563476562,4163.8461914062,4161.5385742188,4169.3588867188,4167.1796875,4186.6665039062,4177.8203125,4175.6411132812,4157.5639648438
4166.41015625,4160.2563476562,4177.0512695312,4274.4873046875,4164.3588867188,4164.3588867188,4161.1538085938,4162.3076171875,4167.0512695312,4166.0258789062,4183.205078125,4171.9228515625,4170.5126953125,4157.6923828125
4164.1025390625,4152.5639648438,4176.794921875,4272.9487304688,4164.615234375,4161.1538085938,4163.205078125,4161.9228515625,4162.9487304688,4170.8974609375,4179.615234375,4167.6923828125,4166.0258789062,4151.9228515625
4168.3334960938,4162.8203125,4186.41015625,4276.1538085938,4168.4614257812,4162.1796875,4166.5385742188,4165.7690429688,4167.9487304688,4173.9741210938,4181.2822265625,4172.5639648438,4171.41015625,4154.8715820312
4179.7436523438,4178.3334960938,4190.2563476562,4279.1025390625,4167.4360351562,4163.205078125,4162.6923828125,4166.1538085938,4164.3588867188,4168.8461914062,4194.7436523438,4189.8715820312,4187.1796875,4167.4360351562
4183.7177734375,4180.384765625,4194.8715820312,4284.8715820312,4165.7690429688,4164.4873046875,4163.3334960938,4167.5639648438,4157.9487304688,4164.4873046875,4208.9741210938,4201.794921875,4199.1025390625,4171.1538085938
4179.2309570312,4177.6923828125,4191.0258789062,4284.3588867188,4163.7177734375,4163.205078125,4160.8974609375,4165.1284179688,4164.615234375,4166.794921875,4205.6411132812,4195.384765625,4191.41015625,4163.3334960938
4170.384765625,4173.0771484375,4182.0512695312,4280.0,4164.7436523438,4162.3076171875,4157.1796875,4164.2309570312,4170.2563476562,4170.1284179688,4190.7690429688,4180.1284179688,4175.5126953125,4154.7436523438
4153.9741210938,4161.9228515625,4175.7690429688,4278.58984375,4168.58984375,4163.205078125,4162.0512695312,4166.794921875,4166.0258789062,4167.9487304688,4181.5385742188,4170.8974609375,4168.205078125,4147.0512695312
4145.1284179688,4150.0,4169.8715820312,4272.5639648438,4167.1796875,4160.6411132812,4161.794921875,4162.6923828125,4164.2309570312,4164.4873046875,4178.8461914062,4166.9228515625,4165.2563476562,4139.1025390625
4145.7690429688,4143.8461914062,4169.615234375,4268.0771484375,4167.8203125,4162.0512695312,4160.7690429688,4162.8203125,4167.6923828125,4165.1284179688,4172.4360351562,4160.7690429688,4157.6923828125,4135.8974609375
4141.1538085938,4144.615234375,4167.0512695312,4267.0512695312,4167.5639648438,4164.615234375,4160.384765625,4163.3334960938,4166.0258789062,4165.7690429688,4162.5639648438,4152.3076171875,4149.4873046875,4131.41015625
