AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4165.1284179688,4148.3334960938,4153.7177734375,4139.1025390625,4159.7436523438,4160.2563476562,4157.6923828125,4162.6923828125,4163.3334960938,4163.4614257812,4142.1796875,4158.58984375,4144.4873046875,4128.0771484375
4165.1284179688,4151.41015625,4155.2563476562,4141.5385742188,4160.7690429688,4160.0,4157.1796875,4166.1538085938,4164.615234375,4163.9741210938,4147.0512695312,4161.6665039062,4141.41015625,4130.8974609375
4158.4614257812,4148.3334960938,4159.2309570312,4145.0,4160.8974609375,4162.4360351562,4163.9741210938,4164.1025390625,4165.0,4162.8203125,4146.9228515625,4161.794921875,4142.9487304688,4133.0771484375
4163.4614257812,4150.2563476562,4160.1284179688,4147.1796875,4158.58984375,4161.6665039062,4162.8203125,4161.9228515625,4163.205078125,4162.4360351562,4148.4614257812,4167.3076171875,4152.8203125,4136.9228515625
4170.6411132812,4157.8203125,4165.1284179688,4156.1538085938,4161.9228515625,4161.1538085938,4161.9228515625,4166.0258789062,4164.2309570312,4164.1025390625,4156.1538085938,4174.1025390625,4157.3076171875,4146.0258789062
4172.3076171875,4162.1796875,4166.5385742188,4165.0,4161.41015625,4160.0,4156.9228515625,4166.5385742188,4164.7436523438,4163.58984375,4160.7690429688,4179.615234375,4157.3076171875,4152.4360351562
4179.4873046875,4170.5126953125,4173.58984375,4166.6665039062,4161.1538085938,4162.9487304688,4157.9487304688,4163.7177734375,4162.6923828125,4164.1025390625,4166.9228515625,4189.3588867188,4167.6923828125,4159.3588867188
4178.4614257812,4169.1025390625,4177.0512695312,4167.3076171875,4162.5639648438,4164.7436523438,4164.2309570312,4163.0771484375,4161.0258789062,4165.6411132812,4172.8203125,4192.1796875,4172.8203125,4158.9741210938
4162.6923828125,4155.6411132812,4165.2563476562,4168.3334960938,4161.6665039062,4159.3588867188,4159.7436523438,4163.4614257812,4161.5385742188,4164.2309570312,4170.1284179688,4185.1284179688,4167.3076171875,4144.615234375
4156.6665039062,4154.615234375,4161.794921875,4161.0258789062,4163.0771484375,4160.1284179688,4157.5639648438,4164.2309570312,4162.9487304688,4163.8461914062,4165.2563476562,4179.4873046875,4167.9487304688,4136.2822265625
