AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4165.7690429688,4158.3334960938,4152.1796875,4145.384765625,4163.205078125,4163.9741210938,4163.0771484375,4162.3076171875,4164.4873046875,4164.615234375,4116.6665039062,4144.8715820312,4153.8461914062,4158.58984375
4165.8974609375,4159.1025390625,4153.4614257812,4155.5126953125,4161.794921875,4162.0512695312,4166.0258789062,4168.0771484375,4165.0,4162.6923828125,4118.7177734375,4141.5385742188,4155.2563476562,4159.615234375
4160.6411132812,4157.6923828125,4145.5126953125,4153.3334960938,4159.8715820312,4161.794921875,4162.3076171875,4163.7177734375,4164.615234375,4163.9741210938,4119.2309570312,4139.1025390625,4153.9741210938,4152.4360351562
4153.205078125,4151.9228515625,4140.6411132812,4143.0771484375,4161.6665039062,4164.7436523438,4157.4360351562,4161.2822265625,4164.7436523438,4163.7177734375,4115.0,4134.4873046875,4152.6923828125,4148.4614257812
4154.615234375,4153.4614257812,4146.6665039062,4153.0771484375,4158.58984375,4163.205078125,4159.2309570312,4162.8203125,4163.58984375,4163.4614257812,4115.7690429688,4131.41015625,4153.58984375,4154.4873046875
4161.794921875,4162.9487304688,4158.3334960938,4168.0771484375,4157.5639648438,4164.2309570312,4165.5126953125,4164.4873046875,4162.0512695312,4165.1284179688,4125.7690429688,4136.5385742188,4156.1538085938,4159.7436523438
4169.4873046875,4169.7436523438,4162.8203125,4164.4873046875,4161.0258789062,4163.205078125,4161.41015625,4164.4873046875,4162.6923828125,4165.7690429688,4133.9741210938,4143.8461914062,4161.0258789062,4159.3588867188
4178.9741210938,4177.0512695312,4167.9487304688,4171.5385742188,4163.4614257812,4161.2822265625,4160.1284179688,4165.0,4166.2822265625,4166.5385742188,4141.9228515625,4154.8715820312,4172.0512695312,4162.4360351562
4185.384765625,4186.0258789062,4175.6411132812,4191.0258789062,4161.6665039062,4164.615234375,4165.5126953125,4165.384765625,4166.5385742188,4164.8715820312,4143.8461914062,4158.0771484375,4171.6665039062,4166.0258789062
4185.384765625,4186.0258789062,4175.6411132812,4191.0258789062,4161.6665039062,4164.615234375,4165.5126953125,4165.384765625,4166.5385742188,4164.8715820312,4143.8461914062,4158.0771484375,4171.6665039062,4166.0258789062
4187.9487304688,4186.1538085938,4170.7690429688,4182.1796875,4157.1796875,4164.4873046875,4164.1025390625,4163.4614257812,4163.8461914062,4163.3334960938,4131.41015625,4141.2822265625,4153.205078125,4162.5639648438
4189.1025390625,4176.6665039062,4164.2309570312,4157.3076171875,4161.2822265625,4163.3334960938,4163.205078125,4162.6923828125,4164.1025390625,4165.0,4131.0258789062,4137.4360351562,4148.8461914062,4160.5126953125
4192.5639648438,4170.0,4171.5385742188,4150.5126953125,4164.2309570312,4161.2822265625,4161.9228515625,4162.8203125,4164.7436523438,4163.8461914062,4164.8715820312,4166.6665039062,4173.7177734375,4172.4360351562
