AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4129.2309570312,4129.2309570312,4117.6923828125,4131.5385742188,4163.3334960938,4163.8461914062,4163.8461914062,4162.4360351562,4163.0771484375,4163.8461914062,4069.4870605469,4117.9487304688,4108.3334960938,4142.6923828125
4124.8715820312,4131.794921875,4119.3588867188,4131.6665039062,4161.0258789062,4163.4614257812,4161.0258789062,4162.5639648438,4163.0771484375,4167.4360351562,4087.5642089844,4127.0512695312,4117.3076171875,4145.6411132812
4136.41015625,4139.7436523438,4144.3588867188,4137.0512695312,4161.9228515625,4163.3334960938,4161.2822265625,4165.0,4166.41015625,4167.6923828125,4117.4360351562,4151.2822265625,4131.9228515625,4158.7177734375
4145.8974609375,4137.9487304688,4160.7690429688,4140.384765625,4165.0,4162.5639648438,4164.1025390625,4168.205078125,4167.4360351562,4165.6411132812,4120.384765625,4162.5639648438,4135.1284179688,4168.205078125
4148.205078125,4136.6665039062,4160.7690429688,4143.4614257812,4162.4360351562,4164.4873046875,4162.6923828125,4167.0512695312,4163.7177734375,4164.3588867188,4118.7177734375,4173.4614257812,4134.7436523438,4173.0771484375
4152.4360351562,4141.41015625,4160.8974609375,4134.4873046875,4161.9228515625,4166.2822265625,4163.9741210938,4163.8461914062,4164.3588867188,4167.1796875,4123.9741210938,4185.7690429688,4139.3588867188,4176.5385742188
4150.2563476562,4136.794921875,4156.1538085938,4123.58984375,4163.8461914062,4159.615234375,4162.5639648438,4162.3076171875,4165.8974609375,4169.1025390625,4117.0512695312,4179.8715820312,4138.58984375,4175.8974609375
4145.1284179688,4127.0512695312,4150.1284179688,4121.1538085938,4165.384765625,4158.58984375,4162.8203125,4165.0,4162.6923828125,4167.0512695312,4111.794921875,4170.384765625,4134.1025390625,4174.2309570312
4147.8203125,4129.2309570312,4150.8974609375,4117.5639648438,4164.2309570312,4165.6411132812,4163.7177734375,4166.5385742188,4162.4360351562,4163.9741210938,4115.1284179688,4170.8974609375,4135.0,4175.5126953125
4148.3334960938,4131.1538085938,4152.4360351562,4119.7436523438,4161.0258789062,4163.58984375,4162.1796875,4165.6411132812,4164.4873046875,4162.5639648438,4116.6665039062,4172.5639648438,4137.9487304688,4178.8461914062
4149.615234375,4128.205078125,4152.6923828125,4128.8461914062,4161.6665039062,4159.7436523438,4165.8974609375,4167.4360351562,4162.6923828125,4163.9741210938,4117.6923828125,4171.2822265625,4138.8461914062,4179.1025390625
4155.0,4130.5126953125,4149.4873046875,4128.7177734375,4161.9228515625,4160.384765625,4166.2822265625,4165.384765625,4162.8203125,4166.1538085938,4123.9741210938,4172.0512695312,4145.7690429688,4176.1538085938
4154.3588867188,4133.58984375,4148.3334960938,4130.0,4161.6665039062,4162.3076171875,4162.9487304688,4162.9487304688,4165.1284179688,4167.6923828125,4136.1538085938,4175.384765625,4151.6665039062,4177.8203125
4153.3334960938,4131.794921875,4151.794921875,4134.8715820312,4162.4360351562,4163.8461914062,4162.5639648438,4164.8715820312,4164.8715820312,4165.2563476562,4144.4873046875,4177.4360351562,4147.3076171875,4180.6411132812
4154.1025390625,4134.2309570312,4153.3334960938,4131.0258789062,4161.6665039062,4160.7690429688,4161.0258789062,4163.0771484375,4163.58984375,4162.1796875,4147.3076171875,4178.205078125,4148.4614257812,4178.58984375
4151.794921875,4139.1025390625,4156.1538085938,4132.3076171875,4162.8203125,4161.9228515625,4163.58984375,4162.9487304688,4163.9741210938,4164.2309570312,4151.1538085938,4181.0258789062,4155.8974609375,4177.5639648438
4151.6665039062,4137.0512695312,4158.9741210938,4138.0771484375,4161.0258789062,4165.0,4164.3588867188,4164.8715820312,4165.0,4166.6665039062,4160.7690429688,4186.6665039062,4156.794921875,4177.4360351562
4152.5639648438,4135.8974609375,4157.3076171875,4142.4360351562,4159.8715820312,4163.4614257812,4162.4360351562,4164.2309570312,4164.2309570312,4165.5126953125,4169.615234375,4184.3588867188,4153.0771484375,4172.0512695312
4146.6665039062,4136.1538085938,4151.794921875,4142.8203125,4164.7436523438,4161.2822265625,4164.1025390625,4162.3076171875,4162.5639648438,4162.1796875,4168.205078125,4173.8461914062,4148.9741210938,4167.0512695312
4142.0512695312,4132.8203125,4147.6923828125,4132.0512695312,4165.5126953125,4159.7436523438,4161.5385742188,4160.5126953125,4161.2822265625,4161.9228515625,4168.58984375,4173.0771484375,4145.6411132812,4162.6923828125
4147.0512695312,4135.6411132812,4150.6411132812,4129.8715820312,4163.205078125,4161.794921875,4161.0258789062,4162.1796875,4164.4873046875,4164.7436523438,4175.5126953125,4180.6411132812,4151.2822265625,4161.1538085938
4158.9741210938,4146.794921875,4156.794921875,4151.0258789062,4162.8203125,4162.9487304688,4162.8203125,4164.2309570312,4166.0258789062,4166.5385742188,4181.6665039062,4188.0771484375,4157.8203125,4170.2563476562
4168.3334960938,4149.8715820312,4163.7177734375,4159.615234375,4162.1796875,4160.0,4160.8974609375,4164.4873046875,4164.3588867188,4164.615234375,4187.5639648438,4192.1796875,4157.8203125,4180.384765625
4172.1796875,4145.2563476562,4167.3076171875,4146.2822265625,4164.8715820312,4159.7436523438,4160.7690429688,4164.615234375,4165.6411132812,4162.9487304688,4191.6665039062,4194.1025390625,4159.4873046875,4180.8974609375
4173.8461914062,4146.6665039062,4162.8203125,4147.9487304688,4164.7436523438,4158.3334960938,4159.1025390625,4163.3334960938,4165.8974609375,4165.2563476562,4188.3334960938,4190.1284179688,4157.3076171875,4176.6665039062
4168.7177734375,4143.205078125,4155.8974609375,4152.1796875,4164.7436523438,4158.3334960938,4162.8203125,4164.7436523438,4163.8461914062,4166.5385742188,4178.3334960938,4180.8974609375,4144.7436523438,4172.1796875
4154.615234375,4129.8715820312,4146.41015625,4132.6923828125,4165.5126953125,4160.1284179688,4166.1538085938,4165.5126953125,4164.8715820312,4163.58984375,4167.5639648438,4169.2309570312,4132.5639648438,4159.7436523438
4139.7436523438,4117.4360351562,4135.2563476562,4115.2563476562,4160.8974609375,4158.9741210938,4160.6411132812,4162.8203125,4166.794921875,4163.3334960938,4155.6411132812,4152.6923828125,4120.7690429688,4139.8715820312
4123.0771484375,4103.3334960938,4124.7436523438,4111.1538085938,4159.4873046875,4159.3588867188,4161.9228515625,4163.58984375,4164.3588867188,4166.0258789062,4139.4873046875,4133.0771484375,4102.1796875,4121.794921875
4103.58984375,4084.3588867188,4107.5639648438,4098.4614257812,4160.1284179688,4158.4614257812,4161.41015625,4165.384765625,4163.4614257812,4164.4873046875,4121.2822265625,4113.205078125,4087.9487304688,4106.9228515625
4096.6665039062,4073.9743652344,4097.4360351562,4079.1025390625,4161.2822265625,4159.8715820312,4158.8461914062,4163.58984375,4164.2309570312,4163.4614257812,4112.4360351562,4103.7177734375,4095.6411132812,4098.8461914062
4100.1284179688,4080.8974609375,4102.9487304688,4078.0769042969,4162.8203125,4163.0771484375,4161.2822265625,4163.0771484375,4163.58984375,4166.41015625,4118.8461914062,4107.1796875,4125.0,4100.5126953125
4093.3332519531,4086.6667480469,4102.8203125,4088.9743652344,4161.2822265625,4161.2822265625,4158.7177734375,4164.615234375,4164.7436523438,4166.0258789062,4126.1538085938,4107.5639648438,4105.1284179688,4103.205078125
4084.8718261719,4078.8461914062,4097.1796875,4086.9230957031,4162.9487304688,4162.3076171875,4158.3334960938,4165.7690429688,4165.0,4164.4873046875,4120.7690429688,4100.384765625,4092.8205566406,4098.8461914062
4088.0769042969,4076.1538085938,4096.9228515625,4078.205078125,4162.9487304688,4165.8974609375,4162.4360351562,4164.3588867188,4163.7177734375,4163.7177734375,4111.6665039062,4097.3076171875,4143.9741210938,4093.0769042969
4097.6923828125,4085.3845214844,4104.3588867188,4085.2563476562,4161.6665039062,4166.9228515625,4165.5126953125,4164.1025390625,4164.4873046875,4163.58984375,4117.4360351562,4104.1025390625,3936.794921875,4095.0
4106.0258789062,4091.2819824219,4111.9228515625,4102.4360351562,4165.0,4164.3588867188,4164.1025390625,4165.7690429688,4165.0,4165.8974609375,4130.6411132812,4112.0512695312,3458.8461914062,4105.384765625
4116.9228515625,4097.0512695312,4114.8715820312,4107.3076171875,4165.2563476562,4160.6411132812,4157.5639648438,4165.0,4163.4614257812,4166.6665039062,4131.6665039062,4116.9228515625,3227.6923828125,4118.9741210938
4131.1538085938,4108.4614257812,4125.0,4103.9741210938,4163.9741210938,4163.3334960938,4157.6923828125,4164.615234375,4164.2309570312,4164.4873046875,4132.0512695312,4128.4614257812,3301.6667480469,4129.615234375
4140.0,4114.4873046875,4136.9228515625,4114.4873046875,4161.794921875,4164.2309570312,4160.6411132812,4165.1284179688,4165.2563476562,4162.1796875,4140.0,4142.0512695312,3300.3845214844,4136.2822265625
4134.4873046875,4113.7177734375,4135.384765625,4123.58984375,4158.3334960938,4162.4360351562,4163.9741210938,4165.384765625,4163.58984375,4162.0512695312,4141.6665039062,4138.3334960938,3239.7436523438,4134.2309570312
4120.6411132812,4108.4614257812,4124.7436523438,4110.2563476562,4160.384765625,4166.2822265625,4165.8974609375,4166.6665039062,4164.615234375,4163.58984375,4136.5385742188,4123.58984375,3267.3076171875,4123.7177734375
4116.9228515625,4103.7177734375,4122.3076171875,4104.7436523438,4161.794921875,4166.5385742188,4158.58984375,4163.0771484375,4165.8974609375,4166.2822265625,4138.0771484375,4119.4873046875,3282.3076171875,4117.1796875
4120.8974609375,4106.9228515625,4127.3076171875,4117.4360351562,4162.1796875,4164.4873046875,4159.4873046875,4161.1538085938,4164.615234375,4166.2822265625,4143.205078125,4123.4614257812,3281.5385742188,4120.384765625
4118.58984375,4109.8715820312,4123.205078125,4121.1538085938,4163.4614257812,4165.384765625,4162.9487304688,4162.8203125,4162.9487304688,4163.8461914062,4144.2309570312,4121.6665039062,3294.3588867188,4122.6923828125
4115.1284179688,4106.9228515625,4121.794921875,4120.384765625,4164.3588867188,4165.5126953125,4158.4614257812,4163.9741210938,4163.205078125,4163.7177734375,4146.9228515625,4120.1284179688,3295.2563476562,4119.3588867188
4117.6923828125,4110.384765625,4131.6665039062,4125.6411132812,4166.2822265625,4165.0,4162.6923828125,4166.794921875,4165.1284179688,4165.384765625,4150.5126953125,4121.1538085938,3298.205078125,4115.8974609375
4120.6411132812,4120.6411132812,4134.4873046875,4127.3076171875,4163.205078125,4161.6665039062,4166.5385742188,4166.6665039062,4165.5126953125,4165.1284179688,4152.1796875,4120.5126953125,3308.9743652344,4116.0258789062
4120.6411132812,4120.6411132812,4134.4873046875,4127.3076171875,4163.205078125,4161.6665039062,4166.5385742188,4166.6665039062,4165.5126953125,4165.1284179688,4152.1796875,4120.5126953125,3308.9743652344,4116.0258789062
4124.615234375,4125.8974609375,4133.0771484375,4132.4360351562,4162.0512695312,4162.4360351562,4163.8461914062,4164.7436523438,4164.4873046875,4165.2563476562,4155.7690429688,4127.1796875,3327.8205566406,4122.5639648438
4137.1796875,4131.2822265625,4142.8203125,4146.2822265625,4163.4614257812,4165.0,4165.5126953125,4164.2309570312,4163.205078125,4164.8715820312,4159.7436523438,4145.0,3345.0,4137.4360351562
4152.4360351562,4146.794921875,4156.2822265625,4151.41015625,4162.6923828125,4162.3076171875,4166.9228515625,4165.2563476562,4162.9487304688,4162.6923828125,4162.6923828125,4159.3588867188,3358.205078125,4153.9741210938
4159.1025390625,4157.9487304688,4163.4614257812,4155.8974609375,4165.384765625,4164.2309570312,4166.6665039062,4169.4873046875,4163.8461914062,4163.9741210938,4167.5639648438,4158.9741210938,3362.8205566406,4161.5385742188
