AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4200.1284179688,4198.0771484375,4212.4360351562,4228.3334960938,4162.6923828125,4164.2309570312,4158.9741210938,4164.615234375,4164.7436523438,4165.6411132812,4155.0,4201.5385742188,4197.4360351562,4188.0771484375
4189.615234375,4192.8203125,4206.41015625,4221.2822265625,4160.5126953125,4166.9228515625,4161.1538085938,4164.2309570312,4164.1025390625,4168.58984375,4153.4614257812,4201.1538085938,4187.8203125,4184.3588867188
4182.1796875,4188.4614257812,4204.8715820312,4211.0258789062,4161.6665039062,4167.4360351562,4162.6923828125,4166.5385742188,4166.0258789062,4168.9741210938,4152.6923828125,4195.1284179688,4183.3334960938,4181.794921875
4179.615234375,4188.8461914062,4202.1796875,4218.9741210938,4162.5639648438,4164.615234375,4162.6923828125,4165.7690429688,4166.9228515625,4165.0,4155.1284179688,4192.9487304688,4186.0258789062,4179.2309570312
4176.2822265625,4188.9741210938,4197.6923828125,4225.6411132812,4160.384765625,4160.0,4160.6411132812,4161.2822265625,4165.0,4162.6923828125,4159.3588867188,4194.2309570312,4184.7436523438,4174.8715820312
4172.1796875,4188.7177734375,4203.205078125,4217.8203125,4164.2309570312,4163.4614257812,4164.2309570312,4163.3334960938,4164.7436523438,4165.2563476562,4159.8715820312,4193.4614257812,4177.8203125,4169.1025390625
4169.7436523438,4189.3588867188,4205.0,4213.9741210938,4167.3076171875,4163.8461914062,4162.8203125,4166.41015625,4164.615234375,4165.5126953125,4155.8974609375,4187.3076171875,4167.8203125,4161.1538085938
4169.2309570312,4186.41015625,4196.5385742188,4213.3334960938,4163.7177734375,4158.0771484375,4158.205078125,4164.8715820312,4165.0,4163.8461914062,4153.0771484375,4184.2309570312,4166.794921875,4155.1284179688
4163.7177734375,4177.9487304688,4190.6411132812,4205.8974609375,4163.4614257812,4160.2563476562,4162.5639648438,4163.58984375,4166.1538085938,4167.0512695312,4151.5385742188,4185.0,4170.7690429688,4154.4873046875
4152.1796875,4166.6665039062,4184.7436523438,4196.41015625,4164.8715820312,4166.41015625,4163.58984375,4162.5639648438,4166.41015625,4169.3588867188,4148.3334960938,4177.1796875,4168.0771484375,4155.6411132812
4156.9228515625,4167.5639648438,4183.7177734375,4197.1796875,4164.615234375,4165.7690429688,4161.41015625,4165.7690429688,4164.3588867188,4166.41015625,4147.6923828125,4171.41015625,4166.0258789062,4158.0771484375
4166.1538085938,4180.0,4186.9228515625,4203.4614257812,4163.9741210938,4161.0258789062,4160.8974609375,4166.9228515625,4163.3334960938,4166.0258789062,4145.8974609375,4172.5639648438,4169.4873046875,4158.0771484375
4162.0512695312,4181.794921875,4183.0771484375,4195.7690429688,4163.4614257812,4162.1796875,4160.5126953125,4161.9228515625,4164.4873046875,4170.5126953125,4138.8461914062,4164.8715820312,4165.8974609375,4151.0258789062
4156.9228515625,4175.5126953125,4181.2822265625,4185.384765625,4164.3588867188,4166.0258789062,4163.3334960938,4162.8203125,4164.1025390625,4167.6923828125,4132.4360351562,4153.0771484375,4153.0771484375,4142.1796875
4160.8974609375,4179.3588867188,4185.5126953125,4193.205078125,4162.1796875,4161.0258789062,4161.0258789062,4166.41015625,4162.0512695312,4160.1284179688,4130.7690429688,4151.6665039062,4148.0771484375,4140.5126953125
4165.1284179688,4184.615234375,4184.615234375,4199.2309570312,4162.6923828125,4158.9741210938,4158.205078125,4167.3076171875,4162.6923828125,4161.9228515625,4131.5385742188,4154.8715820312,4153.7177734375,4142.9487304688
4163.9741210938,4180.1284179688,4176.41015625,4186.2822265625,4165.0,4163.205078125,4158.9741210938,4165.7690429688,4165.1284179688,4167.1796875,4128.7177734375,4151.2822265625,4154.3588867188,4142.4360351562
4165.0,4176.1538085938,4175.2563476562,4177.5639648438,4161.794921875,4161.5385742188,4159.4873046875,4162.4360351562,4163.58984375,4165.7690429688,4126.41015625,4151.794921875,4151.1538085938,4144.1025390625
4168.8461914062,4177.5639648438,4183.3334960938,4181.1538085938,4162.5639648438,4161.9228515625,4163.4614257812,4162.4360351562,4162.5639648438,4166.0258789062,4129.1025390625,4159.615234375,4151.41015625,4147.8203125
4171.41015625,4179.4873046875,4183.4614257812,4181.794921875,4162.6923828125,4163.58984375,4162.1796875,4162.0512695312,4163.7177734375,4168.8461914062,4127.6923828125,4156.9228515625,4152.8203125,4147.6923828125
4173.3334960938,4181.794921875,4178.58984375,4180.5126953125,4161.794921875,4162.5639648438,4159.1025390625,4159.8715820312,4165.2563476562,4167.8203125,4126.1538085938,4152.3076171875,4154.615234375,4148.0771484375
4176.6665039062,4181.6665039062,4180.5126953125,4182.3076171875,4163.9741210938,4164.7436523438,4162.4360351562,4161.2822265625,4166.0258789062,4165.7690429688,4134.1025390625,4162.6923828125,4156.41015625,4155.1284179688
4177.1796875,4182.8203125,4185.5126953125,4185.5126953125,4162.3076171875,4165.7690429688,4162.4360351562,4164.2309570312,4164.1025390625,4163.4614257812,4139.7436523438,4169.615234375,4156.5385742188,4158.205078125
4173.4614257812,4185.2563476562,4188.8461914062,4187.8203125,4161.9228515625,4165.1284179688,4162.3076171875,4166.1538085938,4163.3334960938,4163.58984375,4135.384765625,4159.615234375,4155.0,4153.0771484375
4172.8203125,4184.615234375,4185.384765625,4184.4873046875,4162.3076171875,4162.1796875,4161.794921875,4164.615234375,4165.1284179688,4169.1025390625,4133.205078125,4152.9487304688,4152.5639648438,4148.7177734375
4172.3076171875,4180.6411132812,4180.384765625,4179.4873046875,4162.6923828125,4160.6411132812,4160.6411132812,4162.0512695312,4165.2563476562,4169.8715820312,4136.1538085938,4157.5639648438,4148.7177734375,4148.9741210938
4168.205078125,4175.1284179688,4181.6665039062,4182.4360351562,4163.9741210938,4163.3334960938,4165.384765625,4162.5639648438,4163.9741210938,4164.8715820312,4134.3588867188,4160.5126953125,4145.5126953125,4152.0512695312
4161.2822265625,4170.5126953125,4177.8203125,4179.1025390625,4161.2822265625,4163.3334960938,4165.8974609375,4163.3334960938,4163.9741210938,4162.5639648438,4124.615234375,4153.9741210938,4140.6411132812,4147.3076171875
4151.9228515625,4165.384765625,4166.794921875,4165.2563476562,4162.9487304688,4164.4873046875,4164.2309570312,4163.205078125,4162.8203125,4166.2822265625,4118.58984375,4140.5126953125,4136.41015625,4136.41015625
4141.41015625,4156.41015625,4158.8461914062,4159.1025390625,4165.1284179688,4165.7690429688,4163.0771484375,4161.794921875,4162.8203125,4170.7690429688,4120.384765625,4132.9487304688,4135.8974609375,4128.205078125
4138.4614257812,4153.205078125,4158.4614257812,4158.8461914062,4160.7690429688,4162.3076171875,4163.0771484375,4160.5126953125,4165.2563476562,4171.2822265625,4122.4360351562,4133.4614257812,4133.7177734375,4126.794921875
4145.0,4161.41015625,4163.0771484375,4160.6411132812,4160.5126953125,4163.0771484375,4165.1284179688,4165.8974609375,4164.7436523438,4166.5385742188,4125.6411132812,4134.8715820312,4135.2563476562,4133.3334960938
