AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4183.4614257812,4171.2822265625,4184.615234375,4159.7436523438,4163.0771484375,4164.1025390625,4163.205078125,4163.8461914062,4163.7177734375,4164.2309570312,4179.8715820312,4183.3334960938,4172.5639648438,4177.9487304688
4188.4614257812,4170.8974609375,4186.6665039062,4163.4614257812,4161.794921875,4161.1538085938,4161.0258789062,4163.58984375,4165.1284179688,4165.8974609375,4187.8203125,4190.7690429688,4187.6923828125,4190.8974609375
4190.8974609375,4175.0,4188.4614257812,4164.1025390625,4161.41015625,4161.6665039062,4162.6923828125,4161.6665039062,4164.4873046875,4167.1796875,4193.0771484375,4200.5126953125,4199.3588867188,4201.2822265625
4186.1538085938,4175.7690429688,4184.1025390625,4163.205078125,4161.0258789062,4160.1284179688,4159.1025390625,4160.1284179688,4164.2309570312,4163.58984375,4192.8203125,4200.8974609375,4197.9487304688,4194.2309570312
4182.4360351562,4171.9228515625,4183.58984375,4160.384765625,4162.6923828125,4160.0,4158.8461914062,4162.9487304688,4163.58984375,4163.205078125,4191.1538085938,4195.8974609375,4196.1538085938,4187.9487304688
4184.3588867188,4170.1284179688,4181.6665039062,4159.3588867188,4162.9487304688,4163.0771484375,4160.1284179688,4163.3334960938,4163.7177734375,4167.8203125,4189.1025390625,4191.9228515625,4196.0258789062,4186.41015625
4184.615234375,4170.1284179688,4178.8461914062,4162.9487304688,4161.9228515625,4164.3588867188,4162.6923828125,4161.41015625,4165.0,4165.384765625,4185.1284179688,4187.6923828125,4191.6665039062,4181.6665039062
4183.4614257812,4174.8715820312,4180.2563476562,4164.3588867188,4164.3588867188,4161.41015625,4166.0258789062,4163.7177734375,4163.7177734375,4165.384765625,4183.58984375,4189.615234375,4185.6411132812,4180.2563476562
4185.384765625,4182.4360351562,4185.384765625,4166.2822265625,4162.8203125,4158.205078125,4159.615234375,4162.4360351562,4162.9487304688,4171.9228515625,4188.4614257812,4199.1025390625,4186.5385742188,4183.8461914062
4188.205078125,4183.58984375,4193.4614257812,4171.41015625,4163.4614257812,4163.9741210938,4159.4873046875,4159.7436523438,4164.615234375,4170.6411132812,4193.3334960938,4204.1025390625,4191.5385742188,4185.5126953125
4186.1538085938,4180.8974609375,4194.8715820312,4170.8974609375,4165.8974609375,4164.2309570312,4165.384765625,4160.6411132812,4163.0771484375,4164.1025390625,4193.3334960938,4203.3334960938,4191.2822265625,4186.41015625
4179.3588867188,4178.9741210938,4186.2822265625,4166.6665039062,4163.0771484375,4159.4873046875,4161.5385742188,4162.9487304688,4160.6411132812,4163.9741210938,4192.8203125,4198.8461914062,4189.2309570312,4185.5126953125
4171.2822265625,4176.2822265625,4179.615234375,4163.7177734375,4164.7436523438,4163.3334960938,4159.3588867188,4163.7177734375,4162.8203125,4165.6411132812,4191.0258789062,4192.1796875,4188.0771484375,4176.794921875
4160.5126953125,4165.1284179688,4172.8203125,4155.7690429688,4166.9228515625,4163.4614257812,4161.6665039062,4162.9487304688,4162.9487304688,4165.2563476562,4182.0512695312,4183.0771484375,4182.1796875,4162.1796875
4152.1796875,4154.3588867188,4163.4614257812,4144.7436523438,4166.2822265625,4160.8974609375,4163.9741210938,4164.7436523438,4162.8203125,4166.794921875,4172.4360351562,4172.3076171875,4173.8461914062,4152.3076171875
4150.0,4155.8974609375,4159.8715820312,4143.205078125,4165.8974609375,4163.0771484375,4160.8974609375,4163.3334960938,4164.615234375,4166.1538085938,4168.205078125,4166.41015625,4168.3334960938,4149.7436523438
4152.3076171875,4160.7690429688,4160.6411132812,4144.7436523438,4163.58984375,4164.1025390625,4157.5639648438,4160.0,4163.9741210938,4162.5639648438,4166.9228515625,4166.6665039062,4166.794921875,4148.7177734375
