AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4120.384765625,4109.7436523438,4112.6923828125,4129.3588867188,4161.1538085938,4162.6923828125,4160.5126953125,4158.58984375,4164.7436523438,4164.2309570312,4086.0256347656,4102.9487304688,4113.58984375,4105.1284179688
4120.0,4112.1796875,4114.1025390625,4127.6923828125,4163.205078125,4166.794921875,4162.1796875,4164.8715820312,4165.0,4163.9741210938,4092.6923828125,4103.205078125,4120.0,4110.5126953125
4109.615234375,4100.5126953125,4105.7690429688,4123.58984375,4162.9487304688,4163.8461914062,4161.1538085938,4167.4360351562,4164.4873046875,4163.0771484375,4089.8718261719,4093.8461914062,4113.3334960938,4105.8974609375
4098.3334960938,4092.0512695312,4095.5129394531,4120.6411132812,4160.8974609375,4161.794921875,4162.3076171875,4165.7690429688,4166.0258789062,4163.58984375,4082.0512695312,4088.7180175781,4101.5385742188,4091.9230957031
4105.5126953125,4100.7690429688,4098.0771484375,4123.9741210938,4162.4360351562,4164.1025390625,4163.0771484375,4167.3076171875,4166.2822265625,4169.8715820312,4088.3332519531,4096.9228515625,4106.2822265625,4096.41015625
4122.6923828125,4114.2309570312,4110.0,4127.8203125,4162.0512695312,4159.3588867188,4158.7177734375,4165.6411132812,4164.1025390625,4169.7436523438,4106.6665039062,4111.2822265625,4118.9741210938,4112.3076171875
4127.5639648438,4116.794921875,4118.0771484375,4133.0771484375,4162.8203125,4161.1538085938,4164.3588867188,4163.8461914062,4166.0258789062,4164.7436523438,4107.4360351562,4113.4614257812,4115.2563476562,4118.205078125
4116.41015625,4108.9741210938,4112.3076171875,4130.2563476562,4162.4360351562,4165.7690429688,4164.615234375,4163.58984375,4167.8203125,4168.0771484375,4092.1794433594,4102.6923828125,4100.8974609375,4104.8715820312
4105.2563476562,4100.1284179688,4102.3076171875,4126.6665039062,4163.7177734375,4164.3588867188,4162.9487304688,4166.5385742188,4165.5126953125,4169.3588867188,4082.8205566406,4089.6154785156,4088.4614257812,4088.58984375
4102.6923828125,4102.0512695312,4101.0258789062,4128.4614257812,4165.1284179688,4163.0771484375,4166.6665039062,4166.41015625,4163.8461914062,4165.384765625,4078.3332519531,4080.0,4080.7692871094,4083.205078125
