AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4153.8461914062,4168.7177734375,4184.2309570312,4156.5385742188,4159.615234375,4164.8715820312,4161.9228515625,4163.8461914062,4159.7436523438,4166.2822265625,4186.9228515625,4203.58984375,4185.2563476562,4157.6923828125
4160.384765625,4175.8974609375,4190.0,4161.2822265625,4163.0771484375,4169.615234375,4163.0771484375,4167.6923828125,4163.0771484375,4165.2563476562,4192.5639648438,4208.205078125,4191.41015625,4163.7177734375
4156.1538085938,4167.4360351562,4186.6665039062,4158.58984375,4158.58984375,4160.5126953125,4157.1796875,4165.6411132812,4166.0258789062,4163.0771484375,4191.41015625,4205.384765625,4189.4873046875,4164.3588867188
4141.794921875,4157.9487304688,4175.5126953125,4154.7436523438,4158.8461914062,4159.2309570312,4163.7177734375,4165.6411132812,4167.4360351562,4164.8715820312,4177.4360351562,4185.5126953125,4177.6923828125,4150.5126953125
4133.9741210938,4163.205078125,4169.8715820312,4151.0258789062,4158.0771484375,4163.7177734375,4165.7690429688,4164.8715820312,4164.7436523438,4163.9741210938,4167.6923828125,4171.6665039062,4171.9228515625,4136.1538085938
4135.2563476562,4165.0,4174.1025390625,4151.0258789062,4158.58984375,4163.205078125,4162.0512695312,4167.0512695312,4163.7177734375,4161.1538085938,4166.5385742188,4174.2309570312,4173.0771484375,4136.0258789062
4135.2563476562,4154.615234375,4171.2822265625,4152.1796875,4163.205078125,4161.1538085938,4162.9487304688,4170.6411132812,4166.2822265625,4166.41015625,4160.0,4170.2563476562,4168.0771484375,4137.3076171875
4131.2822265625,4151.9228515625,4165.5126953125,4152.8203125,4160.6411132812,4161.1538085938,4159.7436523438,4165.1284179688,4162.4360351562,4171.41015625,4158.7177734375,4163.205078125,4160.0,4133.0771484375
4136.41015625,4163.205078125,4174.615234375,4157.4360351562,4159.8715820312,4166.41015625,4163.9741210938,4165.6411132812,4158.3334960938,4166.794921875,4168.4614257812,4170.2563476562,4157.6923828125,4141.41015625
4146.2822265625,4168.8461914062,4177.5639648438,4156.2822265625,4159.7436523438,4162.8203125,4165.1284179688,4167.1796875,4160.6411132812,4161.0258789062,4172.9487304688,4180.7690429688,4160.6411132812,4155.6411132812
4146.2822265625,4167.1796875,4173.7177734375,4156.9228515625,4160.1284179688,4158.8461914062,4162.6923828125,4164.2309570312,4163.8461914062,4161.2822265625,4169.7436523438,4179.2309570312,4158.4614257812,4156.0258789062
4150.384765625,4176.1538085938,4183.205078125,4164.3588867188,4162.3076171875,4163.9741210938,4166.1538085938,4166.1538085938,4163.58984375,4163.8461914062,4175.6411132812,4182.1796875,4158.9741210938,4157.5639648438
4160.0,4187.5639648438,4187.1796875,4163.4614257812,4158.0771484375,4160.2563476562,4161.41015625,4165.2563476562,4162.3076171875,4162.8203125,4187.1796875,4191.5385742188,4167.3076171875,4164.615234375
4160.7690429688,4184.7436523438,4181.0258789062,4160.0,4157.1796875,4155.6411132812,4162.8203125,4166.1538085938,4165.384765625,4165.0,4181.6665039062,4183.58984375,4162.1796875,4161.0258789062
4156.1538085938,4181.2822265625,4180.0,4160.2563476562,4158.58984375,4158.205078125,4166.1538085938,4166.1538085938,4167.0512695312,4168.0771484375,4171.5385742188,4173.7177734375,4148.4614257812,4154.2309570312
4153.3334960938,4184.8715820312,4181.9228515625,4160.7690429688,4157.1796875,4162.5639648438,4163.58984375,4163.205078125,4162.6923828125,4165.384765625,4172.6923828125,4179.1025390625,4143.0771484375,4154.7436523438
