AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4129.4873046875,4118.3334960938,4149.7436523438,4125.384765625,4162.0512695312,4156.794921875,4160.7690429688,4162.1796875,4167.4360351562,4160.7690429688,4136.2822265625,4135.6411132812,4100.5126953125,4127.0512695312
4126.1538085938,4117.0512695312,4150.2563476562,4125.6411132812,4162.5639648438,4161.1538085938,4162.9487304688,4166.1538085938,4168.9741210938,4164.2309570312,4136.2822265625,4135.5126953125,4102.0512695312,4128.58984375
4130.6411132812,4120.8974609375,4149.1025390625,4125.7690429688,4162.8203125,4160.7690429688,4160.6411132812,4164.4873046875,4164.615234375,4165.2563476562,4142.1796875,4140.6411132812,4109.2309570312,4129.7436523438
4139.3588867188,4128.58984375,4149.3588867188,4126.9228515625,4165.384765625,4159.3588867188,4157.0512695312,4159.2309570312,4164.7436523438,4164.3588867188,4154.2309570312,4147.3076171875,4122.0512695312,4135.2563476562
4151.2822265625,4141.2822265625,4155.2563476562,4136.2822265625,4166.2822265625,4164.4873046875,4162.4360351562,4162.1796875,4167.6923828125,4167.8203125,4163.58984375,4156.0258789062,4137.1796875,4145.6411132812
4159.7436523438,4148.4614257812,4159.1025390625,4141.5385742188,4161.41015625,4160.5126953125,4160.384765625,4161.794921875,4165.5126953125,4169.3588867188,4165.6411132812,4162.1796875,4145.8974609375,4149.2309570312
4171.0258789062,4154.3588867188,4169.7436523438,4147.0512695312,4164.4873046875,4158.4614257812,4164.7436523438,4162.6923828125,4165.5126953125,4166.1538085938,4167.3076171875,4169.4873046875,4149.8715820312,4158.3334960938
4187.3076171875,4170.6411132812,4180.2563476562,4155.384765625,4164.3588867188,4160.1284179688,4165.8974609375,4163.58984375,4168.58984375,4163.3334960938,4180.1284179688,4187.5639648438,4162.6923828125,4176.5385742188
4193.58984375,4176.794921875,4178.9741210938,4156.2822265625,4159.1025390625,4160.0,4162.4360351562,4163.58984375,4166.794921875,4163.7177734375,4192.9487304688,4198.4614257812,4175.6411132812,4180.0
4185.384765625,4168.205078125,4173.4614257812,4148.8461914062,4162.9487304688,4162.1796875,4165.2563476562,4165.7690429688,4164.2309570312,4164.2309570312,4187.6923828125,4188.58984375,4171.41015625,4170.1284179688
4178.3334960938,4163.9741210938,4171.0258789062,4143.58984375,4164.2309570312,4162.5639648438,4159.7436523438,4160.1284179688,4164.615234375,4161.794921875,4180.384765625,4180.1284179688,4163.205078125,4164.615234375
4180.384765625,4163.4614257812,4174.7436523438,4149.615234375,4166.6665039062,4165.0,4159.2309570312,4159.8715820312,4165.2563476562,4163.205078125,4183.0771484375,4181.1538085938,4161.2822265625,4162.3076171875
4176.1538085938,4162.5639648438,4172.3076171875,4151.0258789062,4166.41015625,4162.9487304688,4160.7690429688,4160.6411132812,4165.7690429688,4167.6923828125,4177.5639648438,4174.615234375,4160.8974609375,4154.4873046875
4167.9487304688,4161.41015625,4168.4614257812,4146.0258789062,4162.4360351562,4157.8203125,4159.2309570312,4157.0512695312,4164.4873046875,4165.8974609375,4167.5639648438,4165.2563476562,4163.205078125,4148.3334960938
4176.41015625,4166.2822265625,4175.5126953125,4150.5126953125,4165.0,4161.41015625,4165.5126953125,4162.4360351562,4164.3588867188,4166.41015625,4172.8203125,4170.2563476562,4168.58984375,4156.794921875
4185.384765625,4176.2822265625,4179.615234375,4152.6923828125,4161.794921875,4163.9741210938,4162.0512695312,4163.7177734375,4165.6411132812,4172.1796875,4184.615234375,4182.4360351562,4173.58984375,4161.2822265625
4174.7436523438,4174.4873046875,4176.9228515625,4150.0,4157.3076171875,4166.5385742188,4162.1796875,4162.1796875,4166.0258789062,4169.2309570312,4180.384765625,4176.9228515625,4173.58984375,4149.615234375
4158.8461914062,4158.205078125,4165.8974609375,4144.8715820312,4160.6411132812,4166.0258789062,4167.6923828125,4162.6923828125,4166.41015625,4163.205078125,4169.4873046875,4156.41015625,4166.9228515625,4135.7690429688
4150.0,4149.1025390625,4152.6923828125,4138.3334960938,4164.615234375,4162.1796875,4160.8974609375,4160.2563476562,4164.615234375,4165.7690429688,4167.6923828125,4147.9487304688,4160.384765625,4126.6665039062
4146.0258789062,4148.58984375,4151.9228515625,4140.1284179688,4165.1284179688,4164.7436523438,4160.6411132812,4163.9741210938,4162.3076171875,4167.5639648438,4162.0512695312,4145.384765625,4151.6665039062,4120.5126953125
4148.4614257812,4147.4360351562,4157.5639648438,4143.8461914062,4157.3076171875,4161.9228515625,4159.4873046875,4163.3334960938,4163.205078125,4165.0,4158.205078125,4142.0512695312,4148.3334960938,4120.5126953125
4158.4614257812,4154.1025390625,4166.5385742188,4146.0258789062,4159.8715820312,4161.1538085938,4158.4614257812,4162.5639648438,4167.3076171875,4165.1284179688,4166.2822265625,4146.0258789062,4156.41015625,4131.2822265625
4164.8715820312,4164.3588867188,4171.6665039062,4148.8461914062,4167.4360351562,4165.8974609375,4162.3076171875,4167.0512695312,4168.3334960938,4163.9741210938,4172.8203125,4155.384765625,4163.205078125,4144.2309570312
4165.7690429688,4168.205078125,4168.0771484375,4151.5385742188,4160.384765625,4161.6665039062,4159.615234375,4163.7177734375,4166.0258789062,4162.9487304688,4172.8203125,4162.0512695312,4164.7436523438,4145.2563476562
4168.8461914062,4167.8203125,4166.9228515625,4151.794921875,4157.8203125,4162.1796875,4162.4360351562,4164.4873046875,4165.384765625,4166.1538085938,4171.794921875,4159.615234375,4163.3334960938,4142.6923828125
4163.7177734375,4160.6411132812,4160.7690429688,4143.0771484375,4160.8974609375,4164.2309570312,4159.8715820312,4166.794921875,4165.1284179688,4165.7690429688,4169.8715820312,4151.794921875,4156.6665039062,4140.1284179688
4158.0771484375,4151.1538085938,4154.4873046875,4140.6411132812,4161.794921875,4160.384765625,4155.7690429688,4163.205078125,4166.41015625,4163.7177734375,4164.3588867188,4150.0,4149.2309570312,4137.4360351562
4169.615234375,4155.7690429688,4161.6665039062,4148.4614257812,4164.2309570312,4159.8715820312,4161.41015625,4162.3076171875,4167.5639648438,4162.9487304688,4166.794921875,4158.58984375,4152.0512695312,4142.5639648438
4181.41015625,4166.0258789062,4169.3588867188,4149.3588867188,4162.5639648438,4158.7177734375,4159.8715820312,4163.0771484375,4163.205078125,4163.3334960938,4178.58984375,4170.6411132812,4163.3334960938,4152.8203125
4180.5126953125,4165.2563476562,4171.9228515625,4148.3334960938,4164.1025390625,4161.1538085938,4162.1796875,4166.794921875,4163.0771484375,4164.615234375,4182.4360351562,4175.1284179688,4168.205078125,4158.58984375
4175.8974609375,4163.9741210938,4170.6411132812,4148.8461914062,4164.3588867188,4163.58984375,4165.384765625,4163.8461914062,4168.0771484375,4162.9487304688,4180.0,4174.2309570312,4167.6923828125,4159.7436523438
4172.3076171875,4165.8974609375,4167.5639648438,4147.3076171875,4161.5385742188,4161.5385742188,4162.3076171875,4160.0,4166.1538085938,4159.615234375,4180.7690429688,4174.2309570312,4166.5385742188,4160.2563476562
