AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4162.5639648438,4148.58984375,4163.0771484375,4153.4614257812,4161.9228515625,4165.1284179688,4160.7690429688,4163.4614257812,4165.8974609375,4163.9741210938,4159.3588867188,4178.3334960938,4161.1538085938,4140.384765625
4167.3076171875,4156.5385742188,4167.8203125,4159.1025390625,4159.3588867188,4162.1796875,4162.8203125,4165.2563476562,4167.1796875,4164.8715820312,4168.8461914062,4183.205078125,4172.3076171875,4151.5385742188
4164.615234375,4166.0258789062,4167.1796875,4163.8461914062,4156.9228515625,4159.2309570312,4161.9228515625,4166.0258789062,4165.6411132812,4166.41015625,4172.1796875,4187.4360351562,4181.2822265625,4157.6923828125
4160.1284179688,4159.7436523438,4164.1025390625,4164.8715820312,4162.6923828125,4164.7436523438,4161.6665039062,4165.7690429688,4165.2563476562,4165.8974609375,4164.8715820312,4181.1538085938,4176.1538085938,4148.58984375
4149.8715820312,4146.794921875,4155.7690429688,4156.41015625,4160.5126953125,4165.384765625,4154.7436523438,4163.205078125,4162.9487304688,4163.4614257812,4158.205078125,4165.384765625,4168.3334960938,4127.1796875
4135.8974609375,4140.2563476562,4151.1538085938,4152.1796875,4159.7436523438,4163.8461914062,4158.8461914062,4166.2822265625,4161.41015625,4165.384765625,4148.9741210938,4150.0,4157.0512695312,4113.9741210938
4134.3588867188,4145.5126953125,4152.8203125,4156.0258789062,4159.615234375,4157.8203125,4160.6411132812,4161.5385742188,4162.8203125,4168.205078125,4147.1796875,4150.8974609375,4153.4614257812,4117.5639648438
4145.0,4155.5126953125,4157.0512695312,4159.8715820312,4159.615234375,4156.5385742188,4156.41015625,4158.58984375,4165.1284179688,4164.615234375,4153.0771484375,4160.8974609375,4161.2822265625,4122.3076171875
4183.4614257812,4173.9741210938,4182.1796875,4170.0,4161.6665039062,4161.6665039062,4165.384765625,4167.1796875,4163.0771484375,4165.2563476562,4169.2309570312,4200.5126953125,4176.2822265625,4176.1538085938
4182.8203125,4175.6411132812,4178.7177734375,4173.4614257812,4162.8203125,4159.4873046875,4162.4360351562,4164.3588867188,4163.0771484375,4165.5126953125,4175.0,4198.205078125,4180.384765625,4175.7690429688
4175.8974609375,4174.1025390625,4172.6923828125,4172.5639648438,4162.0512695312,4159.615234375,4159.3588867188,4161.6665039062,4163.4614257812,4168.3334960938,4177.5639648438,4192.5639648438,4185.384765625,4173.4614257812
4176.5385742188,4178.8461914062,4178.58984375,4171.41015625,4158.4614257812,4163.0771484375,4159.8715820312,4161.6665039062,4164.3588867188,4163.4614257812,4184.7436523438,4201.5385742188,4193.3334960938,4179.1025390625
4183.0771484375,4188.3334960938,4188.0771484375,4175.8974609375,4158.205078125,4159.8715820312,4160.5126953125,4161.9228515625,4163.8461914062,4160.5126953125,4195.0,4214.8715820312,4205.2563476562,4182.5639648438
4184.1025390625,4193.205078125,4191.2822265625,4182.6923828125,4163.9741210938,4159.4873046875,4165.0,4165.7690429688,4163.9741210938,4166.5385742188,4198.4614257812,4215.2563476562,4207.9487304688,4181.5385742188
4179.1025390625,4195.2563476562,4185.0,4176.794921875,4161.1538085938,4161.6665039062,4156.9228515625,4161.1538085938,4166.1538085938,4168.8461914062,4195.0,4210.5126953125,4203.8461914062,4177.3076171875
4184.3588867188,4201.5385742188,4188.7177734375,4176.0258789062,4159.3588867188,4165.0,4158.58984375,4159.615234375,4166.2822265625,4165.8974609375,4196.2822265625,4215.2563476562,4210.8974609375,4180.7690429688
4195.2563476562,4205.1284179688,4197.9487304688,4183.58984375,4163.0771484375,4164.1025390625,4169.1025390625,4165.8974609375,4163.3334960938,4166.794921875,4203.9741210938,4224.1025390625,4222.3076171875,4188.58984375
4198.205078125,4201.2822265625,4194.4873046875,4182.5639648438,4161.794921875,4158.0771484375,4163.0771484375,4164.8715820312,4162.6923828125,4168.0771484375,4204.7436523438,4223.205078125,4224.1025390625,4188.7177734375
4194.2309570312,4196.794921875,4184.1025390625,4178.205078125,4163.205078125,4161.41015625,4160.2563476562,4162.6923828125,4164.2309570312,4167.0512695312,4194.7436523438,4211.6665039062,4217.3076171875,4181.41015625
4178.9741210938,4187.4360351562,4171.41015625,4169.2309570312,4164.3588867188,4164.1025390625,4159.615234375,4160.6411132812,4163.205078125,4168.9741210938,4183.9741210938,4194.4873046875,4198.9741210938,4162.9487304688
4169.8715820312,4173.4614257812,4169.1025390625,4165.1284179688,4162.4360351562,4162.0512695312,4162.5639648438,4163.7177734375,4163.9741210938,4169.2309570312,4175.0,4182.3076171875,4180.2563476562,4150.0
