AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4146.794921875,4165.2563476562,3406.9230957031,4121.9228515625,4159.8715820312,4160.6411132812,4165.8974609375,4168.8461914062,4168.205078125,4162.5639648438,4162.5639648438,4154.615234375,4158.3334960938,4156.794921875
4147.5639648438,4165.384765625,3401.0256347656,4113.7177734375,4159.1025390625,4161.1538085938,4160.7690429688,4166.0258789062,4164.2309570312,4163.7177734375,4160.0,4149.7436523438,4160.1284179688,4152.0512695312
4154.1025390625,4169.2309570312,3403.3332519531,4115.0,4160.7690429688,4160.2563476562,4160.7690429688,4166.9228515625,4162.1796875,4164.1025390625,4158.7177734375,4147.4360351562,4167.3076171875,4158.4614257812
4156.5385742188,4169.2309570312,3407.0512695312,4114.8715820312,4160.384765625,4157.1796875,4156.1538085938,4161.9228515625,4163.4614257812,4162.6923828125,4164.615234375,4152.6923828125,4176.2822265625,4165.6411132812
4152.6923828125,4165.5126953125,3408.0769042969,4114.1025390625,4161.6665039062,4160.2563476562,4157.6923828125,4160.6411132812,4165.5126953125,4167.4360351562,4164.8715820312,4157.3076171875,4177.9487304688,4162.3076171875
4151.9228515625,4164.1025390625,3407.0512695312,4112.4360351562,4158.8461914062,4163.0771484375,4157.9487304688,4159.8715820312,4166.0258789062,4168.4614257812,4157.1796875,4159.4873046875,4175.6411132812,4157.0512695312
4151.1538085938,4157.5639648438,3409.6154785156,4108.3334960938,4156.41015625,4164.1025390625,4160.384765625,4161.0258789062,4166.6665039062,4161.41015625,4155.384765625,4156.2822265625,4170.7690429688,4154.615234375
4151.1538085938,4154.8715820312,3415.1281738281,4110.384765625,4159.1025390625,4166.0258789062,4166.9228515625,4168.9741210938,4166.41015625,4162.6923828125,4159.8715820312,4153.8461914062,4167.0512695312,4154.8715820312
4158.7177734375,4165.2563476562,3420.6411132812,4118.9741210938,4156.794921875,4161.1538085938,4159.2309570312,4168.205078125,4166.1538085938,4170.384765625,4168.9741210938,4168.4614257812,4177.6923828125,4157.6923828125
4166.794921875,4166.2822265625,3428.0769042969,4122.9487304688,4158.3334960938,4160.1284179688,4160.384765625,4165.5126953125,4165.0,4166.9228515625,4175.0,4183.4614257812,4188.4614257812,4162.0512695312
4166.6665039062,4163.58984375,3429.6154785156,4116.794921875,4160.6411132812,4162.3076171875,4166.6665039062,4166.6665039062,4161.5385742188,4159.7436523438,4176.0258789062,4184.8715820312,4188.9741210938,4168.205078125
4173.3334960938,4182.9487304688,3439.1025390625,4122.4360351562,4158.205078125,4161.41015625,4161.794921875,4166.0258789062,4161.5385742188,4162.4360351562,4181.41015625,4194.3588867188,4196.2822265625,4174.615234375
4187.4360351562,4196.2822265625,3459.1025390625,4136.1538085938,4161.6665039062,4162.6923828125,4159.8715820312,4164.8715820312,4164.8715820312,4166.9228515625,4187.0512695312,4209.7436523438,4206.9228515625,4178.58984375
4189.4873046875,4189.615234375,3459.4870605469,4134.615234375,4163.0771484375,4161.5385742188,4156.0258789062,4161.5385742188,4166.9228515625,4163.58984375,4190.2563476562,4215.8974609375,4211.794921875,4178.9741210938
4185.7690429688,4185.8974609375,3452.9487304688,4129.4873046875,4164.2309570312,4162.6923828125,4158.4614257812,4162.3076171875,4167.3076171875,4161.5385742188,4193.8461914062,4218.58984375,4215.7690429688,4183.0771484375
4184.615234375,4184.1025390625,3455.6411132812,4126.9228515625,4164.7436523438,4162.8203125,4162.6923828125,4163.9741210938,4164.8715820312,4168.7177734375,4193.0771484375,4222.0512695312,4214.615234375,4185.0
4182.5639648438,4180.6411132812,3459.1025390625,4124.8715820312,4161.0258789062,4159.7436523438,4159.1025390625,4162.4360351562,4162.9487304688,4172.0512695312,4188.8461914062,4220.1284179688,4208.7177734375,4178.4614257812
4184.615234375,4187.0512695312,3463.58984375,4132.1796875,4160.1284179688,4165.0,4164.2309570312,4165.1284179688,4165.7690429688,4164.4873046875,4188.205078125,4214.3588867188,4205.2563476562,4176.0258789062
4180.0,4186.9228515625,3462.3076171875,4133.58984375,4158.205078125,4165.5126953125,4166.0258789062,4164.4873046875,4166.6665039062,4160.8974609375,4185.384765625,4206.41015625,4202.6923828125,4170.1284179688
4166.0258789062,4168.205078125,3454.8718261719,4123.4614257812,4160.1284179688,4162.3076171875,4164.7436523438,4162.8203125,4166.794921875,4165.0,4175.2563476562,4193.8461914062,4194.8715820312,4159.4873046875
4159.3588867188,4153.9741210938,3446.9230957031,4118.4614257812,4161.6665039062,4164.2309570312,4164.2309570312,4164.615234375,4168.4614257812,4165.0,4163.4614257812,4179.3588867188,4183.7177734375,4150.384765625
4153.58984375,4148.58984375,3440.2563476562,4115.6411132812,4157.9487304688,4162.5639648438,4159.615234375,4164.615234375,4164.4873046875,4162.0512695312,4150.7690429688,4164.2309570312,4172.0512695312,4137.1796875
4145.2563476562,4148.3334960938,3440.1281738281,4113.3334960938,4162.1796875,4161.41015625,4162.4360351562,4165.384765625,4163.8461914062,4165.1284179688,4140.0,4151.6665039062,4165.7690429688,4131.2822265625
4146.0258789062,4153.4614257812,3440.2563476562,4112.8203125,4162.5639648438,4161.6665039062,4159.1025390625,4161.5385742188,4168.3334960938,4168.9741210938,4136.0258789062,4147.1796875,4168.0771484375,4132.0512695312
4151.9228515625,4157.0512695312,3440.6411132812,4113.4614257812,4161.6665039062,4163.3334960938,4154.8715820312,4159.4873046875,4166.5385742188,4166.9228515625,4138.9741210938,4147.3076171875,4173.8461914062,4129.615234375
4154.2309570312,4161.794921875,3443.58984375,4116.1538085938,4164.4873046875,4165.384765625,4160.7690429688,4163.8461914062,4162.6923828125,4162.0512695312,4140.7690429688,4148.3334960938,4175.384765625,4130.5126953125
4153.3334960938,4163.3334960938,3443.7180175781,4113.4614257812,4157.0512695312,4161.2822265625,4159.1025390625,4162.8203125,4164.2309570312,4163.205078125,4137.9487304688,4147.8203125,4171.2822265625,4126.2822265625
4152.8203125,4161.41015625,3445.7692871094,4113.3334960938,4154.4873046875,4161.794921875,4159.7436523438,4165.0,4164.1025390625,4167.5639648438,4133.58984375,4146.1538085938,4164.2309570312,4122.9487304688
4156.5385742188,4162.8203125,3451.2819824219,4118.3334960938,4159.1025390625,4163.3334960938,4162.5639648438,4168.205078125,4161.5385742188,4164.2309570312,4135.8974609375,4153.3334960938,4165.384765625,4130.8974609375
4164.1025390625,4162.8203125,3459.2307128906,4122.3076171875,4157.8203125,4159.615234375,4162.0512695312,4165.2563476562,4163.0771484375,4160.7690429688,4143.0771484375,4168.205078125,4176.0258789062,4138.8461914062
4166.0258789062,4157.0512695312,3463.7180175781,4122.1796875,4156.1538085938,4160.7690429688,4163.205078125,4165.2563476562,4163.8461914062,4164.1025390625,4140.7690429688,4172.3076171875,4176.6665039062,4142.1796875
4163.0771484375,4160.1284179688,3460.6411132812,4118.0771484375,4157.3076171875,4160.8974609375,4157.9487304688,4162.8203125,4163.0771484375,4165.7690429688,4137.5639648438,4167.5639648438,4170.2563476562,4142.6923828125
4168.9741210938,4172.3076171875,3464.3588867188,4121.2822265625,4163.58984375,4162.1796875,4159.3588867188,4164.4873046875,4165.384765625,4163.3334960938,4139.7436523438,4168.0771484375,4173.205078125,4145.5126953125
4173.58984375,4173.4614257812,3469.6154785156,4123.58984375,4163.8461914062,4163.3334960938,4162.1796875,4164.3588867188,4166.5385742188,4163.4614257812,4145.2563476562,4174.3588867188,4185.1284179688,4150.1284179688
4168.58984375,4166.6665039062,3469.2307128906,4119.3588867188,4158.0771484375,4161.9228515625,4157.4360351562,4157.9487304688,4164.8715820312,4165.2563476562,4150.6411132812,4175.1284179688,4192.4360351562,4150.0
4166.794921875,4166.41015625,3472.6923828125,4120.6411132812,4160.1284179688,4164.2309570312,4161.794921875,4162.6923828125,4164.7436523438,4166.41015625,4151.6665039062,4165.2563476562,4190.384765625,4148.0771484375
4166.9228515625,4168.3334960938,3474.3588867188,4121.794921875,4159.3588867188,4162.6923828125,4162.8203125,4167.6923828125,4163.8461914062,4164.7436523438,4151.9228515625,4164.2309570312,4190.384765625,4145.6411132812
4162.5639648438,4161.5385742188,3473.58984375,4117.1796875,4157.4360351562,4160.8974609375,4164.1025390625,4167.6923828125,4163.205078125,4162.3076171875,4148.58984375,4165.8974609375,4185.8974609375,4138.8461914062
4161.2822265625,4151.2822265625,3478.7180175781,4117.4360351562,4159.4873046875,4161.5385742188,4165.8974609375,4166.794921875,4165.2563476562,4168.0771484375,4142.8203125,4158.4614257812,4178.0771484375,4135.8974609375
4166.6665039062,4152.5639648438,3483.9743652344,4123.7177734375,4157.6923828125,4160.384765625,4160.0,4162.4360351562,4163.9741210938,4169.3588867188,4147.1796875,4159.8715820312,4181.41015625,4141.0258789062
4173.0771484375,4161.5385742188,3488.7180175781,4126.9228515625,4159.2309570312,4162.6923828125,4162.5639648438,4162.9487304688,4161.41015625,4165.0,4158.4614257812,4172.8203125,4188.9741210938,4146.5385742188
